entity_key,forecast_rows,negative_forecast_rows,pct_negative_forecast_rows,min_original_forecast,min_adjusted_forecast,created_timestamp
APC-Dedicated,2520,94,0.0373015873015873,-4046.504951116056,0.0,2026-06-12T14:41:57
APC-MSIT,2520,0,0.0,2094.430497000004,2094.430497000004,2026-06-12T14:41:57
APC-Multitenant,2520,45,0.017857142857142856,-3771545.159881997,0.0,2026-06-12T14:41:57
ARE-Go Local,2520,0,0.0,7545.501427999581,7545.501427999581,2026-06-12T14:41:57
AUS-Go Local,2520,60,0.023809523809523808,-7372284.7033279985,0.0,2026-06-12T14:41:57
BRA-Go Local,2520,0,0.0,37926.74750199994,37926.74750199994,2026-06-12T14:41:57
CAN-Go Local,2520,21,0.008333333333333333,-281854.6040490024,0.0,2026-06-12T14:41:57
CHE-Go Local,2520,0,0.0,24607.692672000045,24607.692672000045,2026-06-12T14:41:57
DEU-Go Local,2520,17,0.006746031746031746,-88335.27841899943,0.0,2026-06-12T14:41:57
ESP-Go Local,2520,0,0.0,215.43226299999333,215.43226299999333,2026-06-12T14:41:57
EUR-Dedicated,2520,19,0.00753968253968254,-31146.80125799988,0.0,2026-06-12T14:41:57
EUR-MSIT,2520,0,0.0,1403.8207430000048,1403.8207430000048,2026-06-12T14:41:57
EUR-Multitenant,2520,40,0.015873015873015872,-11301207.002297008,0.0,2026-06-12T14:41:57
FRA-Go Local,2520,0,0.0,25644.615518999635,25644.615518999635,2026-06-12T14:41:57
GBR-Dedicated,2520,48,0.01904761904761905,-11539.14483,0.0,2026-06-12T14:41:57
GBR-Go Local,2520,0,0.0,24664.707643001107,24664.707643001107,2026-06-12T14:41:57
IND-Go Local,2520,10,0.003968253968253968,-132238.6085020036,0.0,2026-06-12T14:41:57
ISR-Go Local,2520,19,0.00753968253968254,-1240.9764900000127,0.0,2026-06-12T14:41:57
ITA-Go Local,2520,39,0.015476190476190477,-46129.32794199998,0.0,2026-06-12T14:41:57
JPN-Go Local,2520,4,0.0015873015873015873,-39063.16540199553,0.0,2026-06-12T14:41:57
KOR-Go Local,2520,0,0.0,15308.241211999995,15308.241211999995,2026-06-12T14:41:57
LAM-Multitenant,2520,22,0.00873015873015873,-351991.8541100013,0.0,2026-06-12T14:41:57
MEX-Go Local,2520,24,0.009523809523809525,-2743.726387000001,0.0,2026-06-12T14:41:57
NAM-Dedicated,2520,21,0.008333333333333333,-165789.24987399954,0.0,2026-06-12T14:41:57
NAM-GCC Low,2520,8,0.0031746031746031746,-60133.06671199488,0.0,2026-06-12T14:41:57
NAM-ITAR DoD,2520,59,0.023412698412698413,-123569.05599021324,0.0,2026-06-12T14:41:57
NAM-ITAR GCCH,2520,96,0.0380952380952381,-78826.60418325933,0.0,2026-06-12T14:41:57
NAM-MSIT,2520,0,0.0,8961.974812280816,8961.974812280816,2026-06-12T14:41:57
NAM-Multitenant,2520,46,0.018253968253968255,-17661382.654663995,0.0,2026-06-12T14:41:57
NAM-SDF,2520,0,0.0,1187.016341999984,1187.016341999984,2026-06-12T14:41:57
NAM-TDF,2520,13,0.005158730158730159,-34.521017999999955,0.0,2026-06-12T14:41:57
NOR-Go Local,2520,0,0.0,5606.604792999897,5606.604792999897,2026-06-12T14:41:57
NZL-Go Local,1470,0,0.0,195.11739794400003,195.11739794400003,2026-06-12T14:41:57
POL-Go Local,2520,0,0.0,1043.8781092155,1043.8781092155,2026-06-12T14:41:57
QAT-Go Local,2520,22,0.00873015873015873,-13651.036335000026,0.0,2026-06-12T14:41:57
SGP-Go Local,2100,0,0.0,1753.990763103,1753.990763103,2026-06-12T14:41:57
SWE-Go Local,2520,8,0.0031746031746031746,-11205.795836999569,0.0,2026-06-12T14:41:57
TWN-Go Local,1470,0,0.0,331.448395377,331.448395377,2026-06-12T14:41:57
ZAF-Go Local,2100,0,0.0,48882.20712532367,48882.20712532367,2026-06-12T14:41:57
