"artifact","exists","n_rows","n_cols","entity_col","model_col","date_col","forecast_col","actual_col","n_entities","n_models","multimodel_per_entity"
"data/processed/forecasts.csv",TRUE,65095,9,"entity_key","model_version","date","forecast_value","",45,16,FALSE
"data/processed/actuals.csv",TRUE,84537,7,"entity_key","","date","","actual_value",45,NA,NA
"data/processed/forecast_comparison.csv",TRUE,0,11,"entity_key","model_version","date","forecast_value","actual_value",0,0,FALSE
"data/processed/entities.csv",TRUE,45,8,"entity_key","","","","",45,NA,NA
"data/processed/run_metadata.csv",TRUE,1,12,"","","","","",NA,NA,NA
"data/sample/metrics.csv",TRUE,0,19,"entity_key","model_name","","","",0,0,FALSE
"data/sample/recommendations.csv",TRUE,12,8,"entity_key","","","","",12,NA,NA
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv",TRUE,15,10,"","model_name","","","",NA,15,NA
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv",TRUE,13,13,"","model_name","","","",NA,13,NA
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv",TRUE,13,17,"","model_name","","","",NA,13,NA
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv",TRUE,78,16,"","","","","",NA,NA,NA
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv",TRUE,507,13,"entity_key","model_name","","","",39,13,TRUE
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv",TRUE,6,17,"","model_name","","","",NA,6,NA
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv",TRUE,81720,14,"entity_key","model_name","forecast_date","forecast_value","actual_value",39,6,TRUE
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv",TRUE,81720,12,"entity_key","model_name","forecast_date","forecast_value","",39,6,TRUE
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv",TRUE,6,15,"","model_name","","","",NA,6,NA
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv",TRUE,81720,9,"entity_key","model_name","forecast_date","forecast_value","",39,6,TRUE
"outputs/model_lab/forecasts/baseline_forecasts.csv",TRUE,0,10,"entity_key","model_name","forecast_date","forecast_value","",0,0,FALSE
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv",TRUE,95340,10,"entity_key","model_name","forecast_date","forecast_value","",39,7,TRUE
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv",TRUE,13620,9,"entity_key","","forecast_date","","",39,NA,NA
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv",TRUE,13560,8,"entity_key","","forecast_date","","",39,NA,NA
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv",TRUE,95340,10,"entity_key","model_name","forecast_date","","",39,7,TRUE
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv",TRUE,2100,10,"entity_key","model_name","forecast_date","forecast_value","",10,7,TRUE
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv",TRUE,900,9,"entity_key","model_name","forecast_date","forecast_value","",5,6,TRUE
"outputs/model_lab/contracts/forecast_output_schema.csv",TRUE,9,5,"","","","","",NA,NA,NA
