entity_key,series_level_leader,leader_median_mase,leader_median_rmsse,ets_median_mase,ets_median_rmsse,ets_rank_by_median_mase,gap_vs_local_leader,status,tied_leader_count
ESP-Go Local,LightGBM,15.98228529838295,5.128262804729157,67.96281339453596,23.427479642421044,11,51.98052809615301,ETS does not lead,1
POL-Go Local,Theta,17.931597993162384,5.629867036144919,48.0111385442155,14.57114793486996,9,30.079540551053114,ETS does not lead,1
ITA-Go Local,XGBoost,6.949149165483505,1.6628132550853998,35.80625733267558,9.193410780558564,11,28.857108167192074,ETS does not lead,1
NAM-Dedicated,ETS_Current,8.149064243322753,2.82018109817499,25.34439040667432,7.013076412474333,8,17.195326163351567,ETS does not lead,1
SGP-Go Local,AutoARIMA,9.437027085027829,0.8550337751142087,25.99800260535292,3.4434154195904414,4,16.56097552032509,ETS does not lead,1
SWE-Go Local,Theta,11.427546777428294,3.3296336624752243,27.56754227308041,8.7328453079102,9,16.139995495652116,ETS does not lead,1
TWN-Go Local,Theta,16.37176670368047,8.312981935657998,30.941041638678684,10.49211657430145,8,14.569274934998212,ETS does not lead,1
APC-Dedicated,Theta,2.0682017757883244,0.2413719397197795,15.450675920717762,1.6385388449847351,12,13.382474144929438,ETS does not lead,1
ARE-Go Local,AutoARIMA,9.30574767151044,1.782459147934941,14.405441522045496,2.6769089519033136,5,5.099693850535056,ETS does not lead,1
IND-Go Local,FixedGrowth_3,5.196886364425486,0.9980795912458874,9.738140981395908,1.736249729453649,5,4.541254616970422,ETS does not lead,1
EUR-Dedicated,LightGBM,6.550062296654886,2.08565900228376,10.849120052115763,3.5761848477379736,7,4.299057755460877,ETS does not lead,1
NOR-Go Local,Theta,4.194328895149962,1.0654172211232376,7.438097937683566,1.7493489542589882,3,3.2437690425336045,ETS does not lead,1
QAT-Go Local,FixedGrowth_3,4.015332467431581,1.2180387491371794,6.8748696213868365,2.487951864193528,5,2.859537153955255,ETS does not lead,1
DEU-Go Local,LinearRegression,4.246913678184447,0.9829396693658008,6.60424616796759,1.641386257809476,5,2.3573324897831425,ETS does not lead,1
JPN-Go Local,ETS_Current,7.410541372201708,2.6834317806478816,9.757487452287222,3.520166036354299,5,2.346946080085514,ETS does not lead,1
NAM-MSIT,ETS_Current,3.864158469857536,0.9407150119499889,6.0662579186120364,1.6840249120794673,7,2.2020994487545003,ETS does not lead,1
BRA-Go Local,FixedGrowth_3,4.797384083511805,1.510621132578915,6.426364063522847,2.34283498766389,3,1.6289799800110423,ETS does not lead,1
APC-Multitenant,FixedGrowth_1_5,3.462068514744969,0.7043060946518395,4.958777262942807,1.0115484430903854,3,1.4967087481978378,ETS does not lead,1
LAM-Multitenant,FixedGrowth_1_5,2.714077635622594,0.677367140928431,4.033890641569558,1.2032657219622274,4,1.3198130059469637,ETS does not lead,1
ZAF-Go Local,FixedGrowth_1_5,4.255653377823872,0.7231936830066492,5.461380118516016,0.7425498860981252,2,1.2057267406921435,ETS does not lead,1
ISR-Go Local,FixedGrowth_4,5.374893556839016,2.406811625096833,6.495419539341911,3.2844678990253326,3,1.1205259825028948,ETS does not lead,1
NAM-GCC Low,LinearRegression,2.590509084227569,0.8294266041498985,3.450703758148765,1.1321159587835892,4,0.8601946739211961,ETS does not lead,1
CAN-Go Local,Theta,4.591250586911581,1.186278647493014,5.393311187717977,1.3371897259129095,3,0.8020606008063957,ETS does not lead,1
NAM-ITAR GCCH,FixedGrowth_3,3.4772251299614627,0.3509062959176207,4.172002852057517,0.5384692894393289,3,0.6947777220960543,ETS does not lead,1
GBR-Go Local,AutoARIMA,9.475763064715636,4.063976976353676,10.088450262775794,3.8927906497489375,3,0.6126871980601578,ETS does not lead,1
CHE-Go Local,AutoARIMA,6.5281819931518825,1.2322834646064866,7.092061636423937,1.5821615551931707,3,0.5638796432720543,ETS does not lead,1
NAM-ITAR DoD,FixedGrowth_3,3.71784148534124,0.5856652003464088,4.139737187768862,0.7455516013470675,3,0.421895702427622,ETS does not lead,1
NAM-TDF,FixedGrowth_4,1.1369310854935706,0.3346931651396497,1.4720937536805945,0.3623323577210373,3,0.3351626681870239,ETS does not lead,1
FRA-Go Local,Theta,8.33931812121891,3.1882333746863694,8.600078173568129,2.670394384993434,2,0.2607600523492195,ETS does not lead,1
NAM-Multitenant,FixedGrowth_1_5,4.730226893501323,1.1155679509730898,4.985993477256756,1.2030461911804498,2,0.2557665837554328,ETS does not lead,1
NAM-SDF,FixedGrowth_3,1.6845462178987836,0.5280676980444095,1.8785457555389449,0.5401308067874682,4,0.1939995376401613,ETS does not lead,1
EUR-MSIT,LinearRegression,1.3987079220989824,0.2528511126076328,1.534802448395867,0.269671224804117,3,0.13609452629688468,ETS does not lead,1
APC-MSIT,XGBoost,1.6599160020599777,0.3278092737053202,1.7839549385616462,0.3633950306196069,3,0.12403893650166853,ETS does not lead,1
KOR-Go Local,Theta,13.488148307296823,3.846228291353336,13.575532649048949,4.138350942021482,2,0.0873843417521254,ETS does not lead,1
MEX-Go Local,FixedGrowth_6,6.866476484562282,2.237261646122578,6.901143533373399,2.513058916694697,2,0.03466704881111671,ETS does not lead,1
