run_id,model_name,model_origin,model_family,official_median_mase,official_median_rmsse,pairwise_support_strength,guardrail_status,risk_status,decision_eligibility,decision_notes,created_timestamp
champion_decision,ETS Explicit,challenger,statistical,6.901143533373399,1.856193218184295,strong,acceptable,low,eligible_candidate,pairwise=8 better/0 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,AutoARIMA,challenger,statistical,8.088530320808188,1.8590126984374988,limited,acceptable,low,eligible_candidate,pairwise=2 better/1 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,FixedGrowth_1_5,baseline,growth_baseline,8.649280961006667,2.2718379673062783,strong,acceptable,low,eligible_candidate,pairwise=6 better/0 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,ETS_Current,baseline,statistical,8.65417111153676,2.273019421267602,moderate,acceptable,low,eligible_candidate,pairwise=4 better/0 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,LinearRegression,baseline,machine_learning,9.49576945571986,2.751763320667872,moderate,acceptable,low,eligible_candidate,pairwise=4 better/1 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,Theta,challenger,statistical,10.642289708177191,2.819225444576951,moderate,acceptable,low,eligible_candidate,pairwise=5 better/0 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,ARIMA_Fixed,baseline,statistical,11.789916350319965,3.49334506602668,weak_or_negative,acceptable,low,eligible_candidate,pairwise=3 better/3 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,FixedGrowth_3,baseline,growth_baseline,12.989045570820014,3.019316356642247,moderate,acceptable,low,eligible_candidate,pairwise=4 better/0 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,XGBoost,challenger,machine_learning,14.547628304157428,3.880790199165525,weak_or_negative,acceptable,low,eligible_candidate,pairwise=3 better/3 worse; status=eligible_candidate,2026-06-13T20:05:35
champion_decision,LightGBM,challenger,machine_learning,16.04104170759398,4.061386180935608,weak_or_negative,acceptable,low,ineligible_due_to_evidence,pairwise=1 better/9 worse; status=ineligible_due_to_evidence,2026-06-13T20:05:35
champion_decision,FixedGrowth_4,baseline,growth_baseline,16.52907963144241,4.072356391248675,weak_or_negative,acceptable,low,ineligible_due_to_evidence,pairwise=2 better/5 worse; status=ineligible_due_to_evidence,2026-06-13T20:05:35
champion_decision,FixedGrowth_6,baseline,growth_baseline,27.01539149184708,5.083541365063246,weak_or_negative,review_required,medium,ineligible_due_to_evidence,pairwise=1 better/9 worse; status=ineligible_due_to_evidence; manual_review=Risk status requires review: medium.,2026-06-13T20:05:35
champion_decision,FastNeuralAR_MLP,challenger,lightweight_neural,739.9218881736479,164.62241686434226,weak_or_negative,failed_or_high_risk,high,ineligible_due_to_risk,pairwise=0 better/12 worse; status=ineligible_due_to_risk; manual_review=High-risk flag: extreme MASE/RMSSE and possible scale or recursive-collapse issue.,2026-06-13T20:05:35
