model_name,available_columns_summary,mase,rmsse,existing_score,existing_rank,coverage_fields,risk_fields,champion_fields,notes
ARIMA_Fixed,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",11.789916350319965,3.49334506602668,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
ETS_Current,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",8.65417111153676,2.273019421267602,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
FixedGrowth_1_5,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",8.649280961006667,2.2718379673062783,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
FixedGrowth_3,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",12.989045570820014,3.019316356642247,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
FixedGrowth_4,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",16.52907963144241,4.072356391248675,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
FixedGrowth_6,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",27.01539149184708,5.083541365063246,,,entity_count=39,mase_guardrail_status=warning; rmsse_guardrail_status=warning; risk_status=medium; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
LinearRegression,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",9.49576945571986,2.7517633206678718,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
AutoARIMA,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",8.088530320808188,1.8590126984374988,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
Theta,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",10.642289708177191,2.819225444576951,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
ETS Explicit,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",6.901143533373399,1.856193218184295,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
LightGBM,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",16.04104170759398,4.061386180935608,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
XGBoost,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",14.547628304157428,3.880790199165525,,,entity_count=39,mase_guardrail_status=pass; rmsse_guardrail_status=pass; risk_status=low; audit_risk_flag=False; champion_exclusion_reason=,eligible_for_champion_consideration=True; champion_exclusion_reason=,Model-level governed tournament scorecard row; no weighted composite column observed.
FastNeuralAR_MLP,"run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp",739.9218881736479,164.62241686434226,,,entity_count=39,mase_guardrail_status=fail; rmsse_guardrail_status=fail; risk_status=high; audit_risk_flag=True; champion_exclusion_reason=Audit #4 high-risk flag: extreme MASE/RMSSE and possible scale or recursive-collapse issue,eligible_for_champion_consideration=False; champion_exclusion_reason=Audit #4 high-risk flag: extreme MASE/RMSSE and possible scale or recursive-collapse issue,Model-level governed tournament scorecard row; no weighted composite column observed.
