entity_key,date,forecast_horizon_day,forecast_value,forecast_lower_95,forecast_upper_95,band95_width_ratio,interval_calibration_grain,forecast_point_scale_anomaly
ARE-Go Local,2026-05-19,22,38833.54400582024,30859.4954,1054307.6431,26.35474494799159,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-18,21,38829.634656773545,30856.3888,1054201.5066,26.354744947915314,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-17,20,38825.72569862265,30853.2825,1054095.3807,26.35474494778857,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-22,25,38845.27439872617,30868.8171,1054626.1163,26.35474494765241,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-16,19,38821.81713132848,30850.1765,1053989.2654,26.354744947637855,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-26,29,38860.92039751403,30881.2504,1055050.8959,26.35474494745927,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-14,17,38814.00116915403,30843.9655,1053777.0667,26.354744947370634,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-12,15,38806.18676993755,30837.7557,1053564.9104,26.35474494732598,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-24,27,38853.09661585928,30875.0331,1054838.4848,26.35474494668805,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-27,30,38864.832875134816,30884.3595,1055157.1173,26.354744946177696,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-25,28,38857.0083111019,30878.1416,1054944.685,26.35474494590497,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-20,23,38837.45374580186,30862.6024,1054413.7902,26.354744945416016,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-21,24,38841.36387675747,30865.7096,1054519.9479,26.354744945312056,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-15,18,38817.90895485197,30847.0709,1053883.1607,26.354744944913563,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-13,16,38810.09377419557,30840.8605,1053670.9832,26.354744944730566,entity_key_x_horizon_bucket,False
ARE-Go Local,2026-05-23,26,38849.18531174708,30871.925,1054732.2952,26.354744944687646,entity_key_x_horizon_bucket,False
FRA-Go Local,2026-05-14,17,99908.007379211,94811.2063,2715369.7602,26.22971494119989,entity_key_x_horizon_bucket,False
FRA-Go Local,2026-05-15,18,99946.19982747418,94847.4504,2716407.7813,26.22971494089123,entity_key_x_horizon_bucket,False
FRA-Go Local,2026-05-12,15,99831.62248268462,94738.7182,2713293.718,26.229714940816248,entity_key_x_horizon_bucket,False
FRA-Go Local,2026-05-25,28,100328.12431010604,95209.891,2726787.9922,26.229714940807696,entity_key_x_horizon_bucket,False
