job_id,entity_key,window_id,model_name,model_family,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,status
job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000002,APC-Dedicated,1,AutoARIMA,Statistical,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000003,APC-Dedicated,1,ETS,Statistical,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000005,APC-Dedicated,1,FixedGrowth_1_5,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000006,APC-Dedicated,1,FixedGrowth_3,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000007,APC-Dedicated,1,FixedGrowth_4,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000008,APC-Dedicated,1,FixedGrowth_6,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000009,APC-Dedicated,1,LightGBM,MachineLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000011,APC-Dedicated,1,NBEATS,DeepLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000012,APC-Dedicated,1,NHITS,DeepLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000013,APC-Dedicated,1,Theta,Statistical,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000014,APC-Dedicated,1,XGBoost,MachineLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000015,APC-Dedicated,2,ARIMA_Fixed,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000016,APC-Dedicated,2,AutoARIMA,Statistical,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000017,APC-Dedicated,2,ETS,Statistical,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000018,APC-Dedicated,2,ETS_Current,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000019,APC-Dedicated,2,FixedGrowth_1_5,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000020,APC-Dedicated,2,FixedGrowth_3,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000021,APC-Dedicated,2,FixedGrowth_4,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000022,APC-Dedicated,2,FixedGrowth_6,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000023,APC-Dedicated,2,LightGBM,MachineLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000024,APC-Dedicated,2,LinearRegression,BaselineProduction,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000025,APC-Dedicated,2,NBEATS,DeepLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000026,APC-Dedicated,2,NHITS,DeepLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000027,APC-Dedicated,2,Theta,Statistical,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000028,APC-Dedicated,2,XGBoost,MachineLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000029,APC-Dedicated,3,ARIMA_Fixed,BaselineProduction,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000030,APC-Dedicated,3,AutoARIMA,Statistical,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000031,APC-Dedicated,3,ETS,Statistical,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000032,APC-Dedicated,3,ETS_Current,BaselineProduction,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000033,APC-Dedicated,3,FixedGrowth_1_5,BaselineProduction,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000034,APC-Dedicated,3,FixedGrowth_3,BaselineProduction,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000035,APC-Dedicated,3,FixedGrowth_4,BaselineProduction,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000036,APC-Dedicated,3,FixedGrowth_6,BaselineProduction,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
