candidate_id,model_name,model_family,series_key,forecast_origin,horizon,forecast_date,forecast_value,actual_value,error,abs_error,squared_error,mase,rmsse,smape_or_mae_if_available,runtime_seconds,status,failure_reason,guardrail_pass,negative_forecast_count,notes
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,1,2026-01-28,4037323.230315,2718503.09812,1318820.132195,1318820.132195,1739286541083.1433,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,2,2026-01-29,4666112.476201,2722576.787756,1943535.688445,1943535.688445,3777330972260.1855,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,3,2026-01-30,3982727.361954,2727631.120751,1255096.241203,1255096.241203,1575266574680.863,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,4,2026-01-31,4224384.840263,2740409.134569,1483975.705694,1483975.705694,2202183895088.617,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,5,2026-02-01,4917028.543673,2744420.680837,2172607.862836,2172607.862836,4720224925655.685,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,6,2026-02-02,4012482.231372,2744420.680837,1268061.550535,1268061.550535,1607980095945.9697,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,7,2026-02-03,4914730.547882,2736384.022478,2178346.525404,2178346.525404,4745193584739.6,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,8,2026-02-04,4411316.791515,2733084.111107,1678232.680408,1678232.680408,2816464929590.3457,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,9,2026-02-05,3950759.808454,2733084.111107,1217675.697347,1217675.697347,1482734103908.7935,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,NAM-Multitenant,2026-01-27,10,2026-02-06,4449090.554473,2734983.944822,1714106.609651,1714106.609651,2938161469247.827,118.89761,33.16415,0.484082,0.5012,ok,,,0,direct_multi_horizon;log1p
