DateTime,Key,Value,ModelVersion,ForecastVersion,Scenario,Resource,ValueType
2026-04-28,APC-Dedicated,29.104001000000004,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-04-29,APC-Dedicated,29.113441918932242,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-04-30,APC-Dedicated,29.12288283786448,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-01,APC-Dedicated,29.13232375679672,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-02,APC-Dedicated,29.141764675728957,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-03,APC-Dedicated,29.151205594661196,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-04,APC-Dedicated,29.160646513593434,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-05,APC-Dedicated,29.170087432525673,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-06,APC-Dedicated,29.17952835145791,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-07,APC-Dedicated,29.18896927039015,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-08,APC-Dedicated,29.198410189322384,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-09,APC-Dedicated,29.207851108254623,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-10,APC-Dedicated,29.21729202718686,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-11,APC-Dedicated,29.2267329461191,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-12,APC-Dedicated,29.236173865051338,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-13,APC-Dedicated,29.245614783983577,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-14,APC-Dedicated,29.255055702915815,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-15,APC-Dedicated,29.264496621848053,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-16,APC-Dedicated,29.27393754078029,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-17,APC-Dedicated,29.28337845971253,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-18,APC-Dedicated,29.29281937864477,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-19,APC-Dedicated,29.302260297577007,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-20,APC-Dedicated,29.311701216509245,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-21,APC-Dedicated,29.321142135441484,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-22,APC-Dedicated,29.330583054373722,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-23,APC-Dedicated,29.34002397330596,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-24,APC-Dedicated,29.349464892238196,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-25,APC-Dedicated,29.358905811170434,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-26,APC-Dedicated,29.368346730102672,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-27,APC-Dedicated,29.37778764903491,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-28,APC-Dedicated,29.38722856796715,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-29,APC-Dedicated,29.396669486899388,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-30,APC-Dedicated,29.406110405831626,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-05-31,APC-Dedicated,29.415551324763864,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-01,APC-Dedicated,29.424992243696103,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-02,APC-Dedicated,29.43443316262834,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-03,APC-Dedicated,29.44387408156058,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-04,APC-Dedicated,29.453315000492818,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-05,APC-Dedicated,29.462755919425057,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-06,APC-Dedicated,29.472196838357295,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-07,APC-Dedicated,29.481637757289533,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-08,APC-Dedicated,29.491078676221772,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-09,APC-Dedicated,29.500519595154007,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-10,APC-Dedicated,29.509960514086245,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-11,APC-Dedicated,29.519401433018484,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-12,APC-Dedicated,29.528842351950722,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-13,APC-Dedicated,29.53828327088296,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-14,APC-Dedicated,29.5477241898152,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-15,APC-Dedicated,29.557165108747437,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-16,APC-Dedicated,29.566606027679676,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-17,APC-Dedicated,29.576046946611914,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-18,APC-Dedicated,29.585487865544152,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-19,APC-Dedicated,29.59492878447639,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-20,APC-Dedicated,29.60436970340863,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-21,APC-Dedicated,29.613810622340868,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-22,APC-Dedicated,29.623251541273106,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-23,APC-Dedicated,29.632692460205345,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-24,APC-Dedicated,29.642133379137583,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-25,APC-Dedicated,29.651574298069818,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-26,APC-Dedicated,29.661015217002056,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-27,APC-Dedicated,29.670456135934295,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-28,APC-Dedicated,29.679897054866533,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
2026-06-29,APC-Dedicated,29.68933797379877,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean
