view,check,result
architecture_png,upstream_vs_shiny_clearly_separated,PASS
architecture_png,read_only_load_edges_labeled,PASS
architecture_png,tesseract_sql_ingestion_raw_processed_present,PASS
architecture_png,model_lab_present,PASS
architecture_png,forecast_artifacts_present,PASS
architecture_png,interval_artifacts_80pct_60d_present,PASS
architecture_png,governance_reference_artifacts_present,PASS
architecture_png,shiny_pages_present,PASS
architecture_png,daily_refresh_marked_v3_planned_dashed,PASS
architecture_png,ai_llm_layer_marked_v3_planned_dashed,PASS
architecture_png,shiny_does_not_download_clean_train_recalc_write_stated,PASS
methodology_page,img_referenced_in_rendered_html,PASS
methodology_page,png_served_over_http_200,PASS
methodology_page,placeholder_text_removed,PASS
