"artifact","column","r_type","n_distinct","example"
"data/processed/forecasts.csv","entity_key","character",45,"APC-Dedicated"
"data/processed/forecasts.csv","date","Date",1459,"2026-04-28"
"data/processed/forecasts.csv","forecast_value","numeric",65095,"29.104001"
"data/processed/forecasts.csv","model_version","character",16,"FixedGrowth1%"
"data/processed/forecasts.csv","forecast_version","Date",1,"2026-05-01"
"data/processed/forecasts.csv","scenario","character",1,"Enterprise"
"data/processed/forecasts.csv","resource","character",1,"HDD"
"data/processed/forecasts.csv","value_type","character",1,"Forecast-Mean"
"data/processed/forecasts.csv","source_file","character",1,"hdd_region_forecasts.csv"
"data/processed/actuals.csv","entity_key","character",45,"APC-Dedicated"
"data/processed/actuals.csv","date","Date",2493,"2019-07-01"
"data/processed/actuals.csv","actual_value","numeric",73559,"120.227"
"data/processed/actuals.csv","forecast_version","Date",1,"2026-05-01"
"data/processed/actuals.csv","scenario","character",1,"Enterprise"
"data/processed/actuals.csv","resource","character",1,"HDD"
"data/processed/actuals.csv","source_file","character",1,"hdd_region_actuals.csv"
"data/processed/forecast_comparison.csv","entity_key","character",0,NA
"data/processed/forecast_comparison.csv","date","character",0,NA
"data/processed/forecast_comparison.csv","actual_value","character",0,NA
"data/processed/forecast_comparison.csv","forecast_value","character",0,NA
"data/processed/forecast_comparison.csv","model_version","character",0,NA
"data/processed/forecast_comparison.csv","forecast_version","character",0,NA
"data/processed/forecast_comparison.csv","scenario","character",0,NA
"data/processed/forecast_comparison.csv","resource","character",0,NA
"data/processed/forecast_comparison.csv","value_type","character",0,NA
"data/processed/forecast_comparison.csv","horizon_days","character",0,NA
"data/processed/forecast_comparison.csv","horizon_bucket","character",0,NA
"data/processed/entities.csv","entity_key","character",45,"APC-Dedicated"
"data/processed/entities.csv","first_actual_date","Date",18,"2019-07-01"
"data/processed/entities.csv","last_actual_date","Date",1,"2026-04-27"
"data/processed/entities.csv","first_forecast_date","Date",1,"2026-04-28"
"data/processed/entities.csv","last_forecast_date","Date",10,"2030-04-13"
"data/processed/entities.csv","actual_rows","numeric",21,"2491"
"data/processed/entities.csv","forecast_rows","numeric",10,"1447"
"data/processed/entities.csv","model_count","numeric",1,"1"
"data/processed/run_metadata.csv","run_timestamp","POSIXct",1,"2026-06-10 09:58:29"
"data/processed/run_metadata.csv","forecast_version","Date",1,"2026-05-01"
"data/processed/run_metadata.csv","actual_rows","numeric",1,"84537"
"data/processed/run_metadata.csv","forecast_rows","numeric",1,"65095"
"data/processed/run_metadata.csv","comparison_rows","numeric",1,"0"
"data/processed/run_metadata.csv","entity_count","numeric",1,"45"
"data/processed/run_metadata.csv","model_count","numeric",1,"16"
"data/processed/run_metadata.csv","first_actual_date","Date",1,"2019-07-01"
"data/processed/run_metadata.csv","last_actual_date","Date",1,"2026-04-27"
"data/processed/run_metadata.csv","first_forecast_date","Date",1,"2026-04-28"
"data/processed/run_metadata.csv","last_forecast_date","Date",1,"2030-04-25"
"data/processed/run_metadata.csv","notes","character",1,"Stage 4.1 data contract build. Same-date actual/forecast comparison only; no errors, metrics, rankings, imputations, or shifted dates."
"data/sample/metrics.csv","run_id","character",0,NA
"data/sample/metrics.csv","entity_key","character",0,NA
"data/sample/metrics.csv","model_name","character",0,NA
"data/sample/metrics.csv","model_group","character",0,NA
"data/sample/metrics.csv","horizon_bucket","character",0,NA
"data/sample/metrics.csv","mape","character",0,NA
"data/sample/metrics.csv","wmape","character",0,NA
"data/sample/metrics.csv","smape","character",0,NA
"data/sample/metrics.csv","mae","character",0,NA
"data/sample/metrics.csv","rmse","character",0,NA
"data/sample/metrics.csv","mase","character",0,NA
"data/sample/metrics.csv","mad","character",0,NA
"data/sample/metrics.csv","mpe","character",0,NA
"data/sample/metrics.csv","bias_pct","character",0,NA
"data/sample/metrics.csv","slope_err","character",0,NA
"data/sample/metrics.csv","drift_score","character",0,NA
"data/sample/metrics.csv","stability_score","character",0,NA
"data/sample/metrics.csv","fva","character",0,NA
"data/sample/metrics.csv","n_obs","character",0,NA
"data/sample/recommendations.csv","run_id","character",1,"baseline_HDD_Enterprise_20260529"
"data/sample/recommendations.csv","entity_key","character",12,"NAM-TDF"
