entity_key,date,forecast_horizon_day,interval_horizon_bucket,forecast_value,forecast_lower_80,forecast_upper_80,band80_width_ratio,interval_calibration_grain,forecast_point_scale_anomaly
NAM-TDF,2026-06-25,59,46_60,48.622126360328544,37.9281,803.3175,15.741586337213167,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-20,54,46_60,48.5431446913347,37.8665,802.0126,15.741586270499809,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-15,49,46_60,48.46416302234086,37.8049,800.7077,15.741586203569005,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-24,58,46_60,48.606330026529776,37.9158,803.0565,15.741585500949759,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-19,53,46_60,48.527348357535935,37.8542,801.7516,15.741585432853606,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-14,48,46_60,48.448366688542094,37.7926,800.4467,15.741585364535428,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-26,60,46_60,48.63792269412731,37.9405,803.5785,15.741585116924522,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-21,55,46_60,48.55894102513347,37.8789,802.2736,15.741585048248051,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-16,50,46_60,48.47995935613963,37.8172,800.9686,15.741584979347813,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-23,57,46_60,48.59053369273101,37.9035,802.7955,15.741584664142625,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-18,52,46_60,48.51155202373717,37.8419,801.4906,15.741584594661893,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-13,47,46_60,48.432570354743326,37.7803,800.1857,15.741584524954549,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-22,56,46_60,48.57473735893224,37.8912,802.5345,15.74158382679124,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-17,51,46_60,48.4957556899384,37.8296,801.2296,15.74158375592414,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-12,46,46_60,48.41677402094456,37.768,799.9247,15.74158368482583,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-19,22,15_30,48.03766200977413,27.0964,501.6254,9.878270093649613,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-17,20,15_30,48.00606934217659,27.0786,501.2955,9.878269695856318,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-27,30,15_30,48.16403268016427,27.1677,502.945,9.878269603366137,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-15,18,15_30,47.97447667457905,27.0608,500.9656,9.878269297539102,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-20,23,15_30,48.05345834357289,27.1053,501.7903,9.878269251842282,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-25,28,15_30,48.13244001256673,27.1499,502.6151,9.87826920629543,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-13,16,15_30,47.94288400698152,27.043,500.6357,9.878268898696929,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-18,21,15_30,48.02186567597536,27.0875,501.4604,9.878268853626023,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-23,26,15_30,48.1008473449692,27.1321,502.2852,9.87826880870313,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-16,19,15_30,47.99027300837782,27.0697,501.1305,9.878268454885465,entity_key_x_horizon_bucket,False
