run_id,model_name,model_origin,model_family,comparisons_tested,supported_better_count,supported_worse_count,inconclusive_count,net_supported_evidence,audit_risk_flag,created_timestamp
tournament_engine,ARIMA_Fixed,baseline,statistical,12,3,3,6,0,False,2026-06-13T18:07:40
tournament_engine,ETS_Current,baseline,statistical,12,4,0,8,4,False,2026-06-13T18:07:40
tournament_engine,LinearRegression,baseline,machine_learning,12,4,1,7,3,False,2026-06-13T18:07:40
tournament_engine,FixedGrowth_1_5,baseline,growth_baseline,12,6,0,6,6,False,2026-06-13T18:07:40
tournament_engine,FixedGrowth_3,baseline,growth_baseline,12,4,0,8,4,False,2026-06-13T18:07:40
tournament_engine,FixedGrowth_4,baseline,growth_baseline,12,2,5,5,-3,False,2026-06-13T18:07:40
tournament_engine,FixedGrowth_6,baseline,growth_baseline,12,1,9,2,-8,False,2026-06-13T18:07:40
tournament_engine,AutoARIMA,challenger,statistical,12,2,1,9,1,False,2026-06-13T18:07:40
tournament_engine,Theta,challenger,statistical,12,5,0,7,5,False,2026-06-13T18:07:40
tournament_engine,ETS Explicit,challenger,statistical,12,8,0,4,8,False,2026-06-13T18:07:40
tournament_engine,LightGBM,challenger,machine_learning,12,1,9,2,-8,False,2026-06-13T18:07:40
tournament_engine,XGBoost,challenger,machine_learning,12,3,3,6,0,False,2026-06-13T18:07:40
tournament_engine,FastNeuralAR_MLP,challenger,lightweight_neural,12,0,12,0,-12,True,2026-06-13T18:07:40
