"path","size_kb"
"data/processed/actuals.csv",7186.7
"data/processed/forecast_comparison.csv",0.1
"data/processed/forecasts.csv",8359.3
"data/raw/hdd_region_actuals.csv",7121.1
"data/raw/hdd_region_forecasts.csv",6777.7
"data/sample/actuals.csv",140.9
"data/sample/forecasts.csv",142.5
"MassiveForecasting-V3/backtest_airpassengers_demo_h12.rds",14.9
"outputs/evaluation/backtest_window_inventory.csv",3
"outputs/metrics/baseline_metrics.csv",3196
"outputs/metrics/baseline_rankings.csv",63.4
"outputs/model_lab/backtesting_window_summary.csv",3.1
"outputs/model_lab/backtesting_windows.csv",39.6
"outputs/model_lab/baseline_pilot/baseline_pilot_execution_status.csv",9.7
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv",294.2
"outputs/model_lab/baseline_pilot/baseline_pilot_summary.csv",0.2
"outputs/model_lab/baseline_ranking/baseline_ranking_entity_scores.csv",33.5
"outputs/model_lab/baseline_ranking/baseline_ranking_metadata.csv",0.5
"outputs/model_lab/baseline_ranking/baseline_ranking_publication.csv",1.2
"outputs/model_lab/baseline_ranking/baseline_ranking_readme.csv",0.5
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv",1629.1
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_entity_model.csv",58.3
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv",1.7
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_significance_summary.csv",0.4
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_significance_validation.csv",1.1
"outputs/model_lab/challenger_aggregation_significance/challenger_canonical_entity_window_scores.csv",604.2
"outputs/model_lab/challenger_aggregation_significance/challenger_family_summary.csv",0.8
"outputs/model_lab/challenger_aggregation_significance/challenger_model_significance_summary.csv",1
"outputs/model_lab/challenger_aggregation_significance/challenger_outlier_risk_review.csv",0.8
"outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv",3.4
"outputs/model_lab/challenger_aggregation_significance/challenger_tournament_input_manifest.csv",0.8
"outputs/model_lab/challenger_execution_planning/challenger_dependency_resolution_plan.csv",2.1
"outputs/model_lab/challenger_execution_planning/challenger_execution_plan.csv",1.5
"outputs/model_lab/challenger_execution_planning/challenger_execution_planning_summary.csv",0.3
"outputs/model_lab/challenger_execution_planning/challenger_forecast_output_contract.csv",0.6
"outputs/model_lab/challenger_execution_planning/challenger_official_execution_gate.csv",1.3
"outputs/model_lab/challenger_execution_planning/challenger_sandbox_plan.csv",2.6
"outputs/model_lab/challenger_execution_planning/challenger_tuning_budget_plan.csv",1.2
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv",16138.4
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv",1.9
"outputs/model_lab/challenger_metrics/challenger_metrics_entity_window.csv",833.2
"outputs/model_lab/challenger_metrics/challenger_metrics_summary.csv",0.5
"outputs/model_lab/challenger_metrics/challenger_metrics_validation.csv",1.3
"outputs/model_lab/challenger_metrics/challenger_negative_forecast_impact.csv",0.9
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv",11304.5
"outputs/model_lab/challenger_model_set_rescope/current_official_challenger_set.csv",1
"outputs/model_lab/challenger_official_execution/_checkpoint_forecasts.csv",7798.9
"outputs/model_lab/challenger_official_execution/challenger_official_contract_validation.csv",2.1
