"element","artifact","source_field","value"
"Total models","final_model_universe","nrow(final_model_universe)","15"
"Baselines","final_model_universe","model_origin == 'baseline'","7"
"Challengers","final_model_universe","model_origin == 'challenger'","8"
"Included in tournament","final_model_universe","included_in_tournament == TRUE","13"
"Deferred models","final_model_universe","included_in_tournament == FALSE","2"
"Champion eligible","final_model_universe","eligible_for_champion == TRUE","12"
"Selected champion (with conditions)","final_model_universe","selected_champion == TRUE","1"
"Models with risk flags","final_model_universe","risk_flag == TRUE","3"
"Selected champion name","final_model_universe","model_name where selected_champion == TRUE","ETS Explicit"
"Main universe table","final_model_universe","model_name, model_origin, model_family, final_status, included_in_tournament, eligible_for_champion, selected_champion, risk_flag, deferred_reason","15 rows rendered"
