entity_key,bt_actual__over__prod_fc,bt_forecast__over__prod_fc,actuals__over__prod_fc,flag_bt_actual_vs_prod_fc,flag_bt_forecast_vs_prod_fc,flag_actuals_vs_prod_fc
APC-Dedicated,36.0663,36.4011,27.1916,extreme_gt30x,extreme_gt30x,severe_gt10x
APC-MSIT,0.9023,0.9059,0.8909,ok_within_2x,ok_within_2x,ok_within_2x
APC-Multitenant,0.6088,0.5973,0.3056,ok_within_2x,ok_within_2x,moderate_gt2x
ARE-Go Local,1.1711,1.1328,0.3929,ok_within_2x,ok_within_2x,moderate_gt2x
AUS-Go Local,0.7665,0.7589,0.4275,ok_within_2x,ok_within_2x,moderate_gt2x
AUT-Go Local,,,0.0682,no_data,no_data,severe_gt10x
BRA-Go Local,0.6039,0.6043,0.3176,ok_within_2x,ok_within_2x,moderate_gt2x
CAN-Go Local,0.7364,0.7311,0.4001,ok_within_2x,ok_within_2x,moderate_gt2x
CHE-Go Local,0.6373,0.597,0.2641,ok_within_2x,ok_within_2x,moderate_gt2x
CHL-Go Local,,,0.0477,no_data,no_data,severe_gt10x
DEU-Go Local,0.565,0.5545,0.229,ok_within_2x,ok_within_2x,moderate_gt2x
DNK-Go Local,,,0.0348,no_data,no_data,severe_gt10x
ESP-Go Local,0.9529,0.9477,0.0253,ok_within_2x,ok_within_2x,extreme_gt30x
EUR-Dedicated,0.8094,0.8148,0.7944,ok_within_2x,ok_within_2x,ok_within_2x
EUR-Go Local,,,0.0818,no_data,no_data,severe_gt10x
EUR-MSIT,0.8323,0.8331,0.7693,ok_within_2x,ok_within_2x,ok_within_2x
EUR-Multitenant,0.6986,0.6776,0.3463,ok_within_2x,ok_within_2x,moderate_gt2x
FRA-Go Local,0.7675,0.7688,0.3767,ok_within_2x,ok_within_2x,moderate_gt2x
GBR-Dedicated,2.8411,2.78,1.9605,moderate_gt2x,moderate_gt2x,ok_within_2x
GBR-Go Local,0.704,0.6962,0.3978,ok_within_2x,ok_within_2x,moderate_gt2x
IDN-Go Local,,,0.2526,no_data,no_data,moderate_gt2x
IND-Go Local,0.5479,0.5381,0.1963,ok_within_2x,ok_within_2x,moderate_gt2x
ISR-Go Local,0.3096,0.308,0.1746,moderate_gt2x,moderate_gt2x,moderate_gt2x
ITA-Go Local,0.7804,0.7767,0.0506,ok_within_2x,ok_within_2x,severe_gt10x
JPN-Go Local,0.5996,0.5906,0.3172,ok_within_2x,ok_within_2x,moderate_gt2x
KOR-Go Local,0.4076,0.3967,0.1662,moderate_gt2x,moderate_gt2x,moderate_gt2x
LAM-Multitenant,0.6684,0.6584,0.364,ok_within_2x,ok_within_2x,moderate_gt2x
MEX-Go Local,0.301,0.3039,0.0535,moderate_gt2x,moderate_gt2x,severe_gt10x
MYS-Go Local,,,0.189,no_data,no_data,moderate_gt2x
NAM-Dedicated,0.8523,0.8563,0.662,ok_within_2x,ok_within_2x,ok_within_2x
NAM-GCC Low,0.6681,0.6638,0.3642,ok_within_2x,ok_within_2x,moderate_gt2x
NAM-ITAR DoD,0.8335,0.8188,0.3829,ok_within_2x,ok_within_2x,moderate_gt2x
NAM-ITAR GCCH,0.7646,0.7429,0.264,ok_within_2x,ok_within_2x,moderate_gt2x
NAM-MSIT,0.5243,0.5265,0.3013,ok_within_2x,ok_within_2x,moderate_gt2x
NAM-Multitenant,0.6714,0.6605,0.3629,ok_within_2x,ok_within_2x,moderate_gt2x
NAM-SDF,0.712,0.6815,0.3817,ok_within_2x,ok_within_2x,moderate_gt2x
NAM-TDF,0.7305,0.7144,0.1065,ok_within_2x,ok_within_2x,moderate_gt2x
NOR-Go Local,0.6005,0.5914,0.2209,ok_within_2x,ok_within_2x,moderate_gt2x
NZL-Go Local,0.4427,0.4393,0.2501,moderate_gt2x,moderate_gt2x,moderate_gt2x
POL-Go Local,0.7165,0.7146,0.0205,ok_within_2x,ok_within_2x,extreme_gt30x
QAT-Go Local,0.6316,0.6242,0.4167,ok_within_2x,ok_within_2x,moderate_gt2x
SGP-Go Local,0.8674,0.8644,0.0266,ok_within_2x,ok_within_2x,extreme_gt30x
SWE-Go Local,0.7988,0.7537,0.3416,ok_within_2x,ok_within_2x,moderate_gt2x
TWN-Go Local,0.4157,0.4011,0.0364,moderate_gt2x,moderate_gt2x,severe_gt10x
ZAF-Go Local,0.5068,0.5081,0.2424,ok_within_2x,ok_within_2x,moderate_gt2x
