k,holdout_cov_80,w_median,w_p95
1.0,0.7314,0.1986,6.5713
1.05,0.7401,0.2085,6.8999
1.1,0.7487,0.2184,7.2285
1.15,0.7564,0.2283,7.557
1.2,0.7636,0.2383,7.8856
1.25,0.7707,0.2482,8.2142
1.3,0.7767,0.2581,8.5427
1.35,0.7827,0.268,8.8713
1.4,0.788,0.278,9.1998
1.45,0.7931,0.2879,9.5284
1.5,0.7979,0.2978,9.857
1.55,0.8024,0.3078,10.1855
1.6,0.8067,0.3177,10.5141
1.65,0.8113,0.3276,10.8427
1.7,0.8153,0.3375,11.1712
1.75,0.8191,0.3475,11.4998
1.8,0.8229,0.3574,11.8284
1.85,0.8263,0.3673,12.1569
1.9,0.8292,0.3773,12.4855
1.95,0.8322,0.3872,12.8141
2.0,0.8348,0.3971,13.1426
2.05,0.8373,0.407,13.4712
2.1,0.8398,0.417,13.7998
2.15,0.8436,0.4269,14.1283
2.2,0.8453,0.4368,14.4569
2.25,0.8471,0.4467,14.7855
2.3,0.8489,0.4567,15.114
2.35,0.8504,0.4666,15.4426
2.4,0.8519,0.4765,15.7712
2.45,0.8533,0.4865,16.0997
2.5,0.8548,0.4964,16.4283
2.55,0.8563,0.5063,16.7569
2.6,0.8576,0.5162,17.0854
2.65,0.8588,0.5262,17.414
2.7,0.8601,0.5361,17.7426
2.75,0.8617,0.546,18.0711
2.8,0.863,0.5559,18.3997
2.85,0.864,0.5659,18.7283
2.9,0.8651,0.5758,19.0568
2.95,0.8661,0.5857,19.3854
3.0,0.8672,0.5957,19.714
