alpha,holdout_cov_80,w_median,w_p95
0.1,0.7314,0.1986,6.5713
0.095,0.7417,0.2241,6.9023
0.09,0.7511,0.2801,6.9938
0.085,0.7638,0.4072,7.1093
0.08,0.7773,0.5319,11.6265
0.075,0.8001,1.2319,15.6033
0.07,0.8099,1.3416,16.5529
0.065,0.8186,1.8558,18.37
0.06,0.8283,2.3684,19.1214
0.055,0.8388,3.0565,22.5934
0.05,0.8488,3.6045,26.1255
0.045,0.8577,4.2694,26.1281
0.04,0.8664,5.7052,26.1289
0.035,0.8749,6.0396,26.1358
0.03,0.8827,6.5693,26.4127
0.025,0.8918,7.0616,26.4252
0.02,0.9014,7.6808,26.4305
0.015,0.9115,8.75,26.5522
0.01,0.9226,9.8491,26.9786
0.005,0.9395,12.5673,27.0496
