metric,scenario_ui_label,granularity,key,key_lower
HDD - Basilisk,Basilisk,Forest,apcp150,apcp150
HDD - Basilisk,Basilisk,Forest,apcp153,apcp153
HDD - Basilisk,Basilisk,Forest,apcprd01,apcprd01
HDD - Basilisk,Basilisk,Forest,apcprd02,apcprd02
HDD - Basilisk,Basilisk,Forest,apcprd03,apcprd03
HDD - Basilisk,Basilisk,Forest,apcprd04,apcprd04
HDD - Basilisk,Basilisk,Forest,apcprd06,apcprd06
HDD - Basilisk,Basilisk,Forest,arep273,arep273
HDD - Basilisk,Basilisk,Forest,ausp282,ausp282
HDD - Basilisk,Basilisk,Forest,ausp300,ausp300
HDD - Basilisk,Basilisk,Forest,ausprd01,ausprd01
HDD - Basilisk,Basilisk,Forest,autp296,autp296
HDD - Basilisk,Basilisk,Forest,brap284,brap284
HDD - Basilisk,Basilisk,Forest,canp288,canp288
HDD - Basilisk,Basilisk,Forest,canprd01,canprd01
HDD - Basilisk,Basilisk,Forest,chep278,chep278
HDD - Basilisk,Basilisk,Forest,chlp298,chlp298
HDD - Basilisk,Basilisk,Forest,chnpr01,chnpr01
HDD - Basilisk,Basilisk,Forest,deup281,deup281
HDD - Basilisk,Basilisk,Forest,dnkp307,dnkp307
HDD - Basilisk,Basilisk,Forest,espp292,espp292
HDD - Basilisk,Basilisk,Forest,eurp107,eurp107
HDD - Basilisk,Basilisk,Forest,eurp119,eurp119
HDD - Basilisk,Basilisk,Forest,eurp120,eurp120
HDD - Basilisk,Basilisk,Forest,eurp121,eurp121
HDD - Basilisk,Basilisk,Forest,eurp122,eurp122
HDD - Basilisk,Basilisk,Forest,eurp137,eurp137
HDD - Basilisk,Basilisk,Forest,eurp138,eurp138
HDD - Basilisk,Basilisk,Forest,eurp174,eurp174
HDD - Basilisk,Basilisk,Forest,eurp175,eurp175
HDD - Basilisk,Basilisk,Forest,eurp176,eurp176
HDD - Basilisk,Basilisk,Forest,eurp177,eurp177
HDD - Basilisk,Basilisk,Forest,eurp178,eurp178
HDD - Basilisk,Basilisk,Forest,eurp179,eurp179
HDD - Basilisk,Basilisk,Forest,eurp180,eurp180
HDD - Basilisk,Basilisk,Forest,eurp189,eurp189
HDD - Basilisk,Basilisk,Forest,eurp190,eurp190
HDD - Basilisk,Basilisk,Forest,eurp191,eurp191
HDD - Basilisk,Basilisk,Forest,eurp192,eurp192
HDD - Basilisk,Basilisk,Forest,eurp193,eurp193
HDD - Basilisk,Basilisk,Forest,eurp194,eurp194
HDD - Basilisk,Basilisk,Forest,eurp195,eurp195
HDD - Basilisk,Basilisk,Forest,eurp250,eurp250
HDD - Basilisk,Basilisk,Forest,eurp251,eurp251
HDD - Basilisk,Basilisk,Forest,eurp309,eurp309
HDD - Basilisk,Basilisk,Forest,eurprd01,eurprd01
HDD - Basilisk,Basilisk,Forest,eurprd02,eurprd02
HDD - Basilisk,Basilisk,Forest,eurprd03,eurprd03
HDD - Basilisk,Basilisk,Forest,eurprd04,eurprd04
HDD - Basilisk,Basilisk,Forest,eurprd05,eurprd05
HDD - Basilisk,Basilisk,Forest,eurprd06,eurprd06
HDD - Basilisk,Basilisk,Forest,eurprd07,eurprd07
HDD - Basilisk,Basilisk,Forest,eurprd08,eurprd08
HDD - Basilisk,Basilisk,Forest,eurprd09,eurprd09
HDD - Basilisk,Basilisk,Forest,eurprd10,eurprd10
HDD - Basilisk,Basilisk,Forest,eurprd83,eurprd83
HDD - Basilisk,Basilisk,Forest,frap264,frap264
HDD - Basilisk,Basilisk,Forest,gbrp123,gbrp123
HDD - Basilisk,Basilisk,Forest,gbrp265,gbrp265
HDD - Basilisk,Basilisk,Forest,gbrp267,gbrp267
HDD - Basilisk,Basilisk,Forest,gbrp302,gbrp302
HDD - Basilisk,Basilisk,Forest,idnp305,idnp305
HDD - Basilisk,Basilisk,Forest,indp287,indp287
HDD - Basilisk,Basilisk,Forest,indprd01,indprd01
HDD - Basilisk,Basilisk,Forest,isrp290,isrp290
HDD - Basilisk,Basilisk,Forest,itap293,itap293
HDD - Basilisk,Basilisk,Forest,jpnp286,jpnp286
HDD - Basilisk,Basilisk,Forest,jpnp301,jpnp301
HDD - Basilisk,Basilisk,Forest,jpnprd01,jpnprd01
HDD - Basilisk,Basilisk,Forest,korp216,korp216
HDD - Basilisk,Basilisk,Forest,lamp152,lamp152
HDD - Basilisk,Basilisk,Forest,lamp215,lamp215
HDD - Basilisk,Basilisk,Forest,lamprd80,lamprd80
HDD - Basilisk,Basilisk,Forest,mexp297,mexp297
HDD - Basilisk,Basilisk,Forest,mysp306,mysp306
HDD - Basilisk,Basilisk,Forest,namp100,namp100
HDD - Basilisk,Basilisk,Forest,namp101,namp101
HDD - Basilisk,Basilisk,Forest,namp102,namp102
HDD - Basilisk,Basilisk,Forest,namp103,namp103
HDD - Basilisk,Basilisk,Forest,namp104,namp104
HDD - Basilisk,Basilisk,Forest,namp105,namp105
HDD - Basilisk,Basilisk,Forest,namp106,namp106
HDD - Basilisk,Basilisk,Forest,namp108,namp108
HDD - Basilisk,Basilisk,Forest,namp109,namp109
HDD - Basilisk,Basilisk,Forest,namp110,namp110
HDD - Basilisk,Basilisk,Forest,namp111,namp111
HDD - Basilisk,Basilisk,Forest,namp113,namp113
HDD - Basilisk,Basilisk,Forest,namp114,namp114
HDD - Basilisk,Basilisk,Forest,namp115,namp115
HDD - Basilisk,Basilisk,Forest,namp116,namp116
HDD - Basilisk,Basilisk,Forest,namp118,namp118
HDD - Basilisk,Basilisk,Forest,namp125,namp125
HDD - Basilisk,Basilisk,Forest,namp126,namp126
HDD - Basilisk,Basilisk,Forest,namp128,namp128
HDD - Basilisk,Basilisk,Forest,namp129,namp129
HDD - Basilisk,Basilisk,Forest,namp130,namp130
HDD - Basilisk,Basilisk,Forest,namp131,namp131
HDD - Basilisk,Basilisk,Forest,namp132,namp132
HDD - Basilisk,Basilisk,Forest,namp133,namp133
HDD - Basilisk,Basilisk,Forest,namp134,namp134
HDD - Basilisk,Basilisk,Forest,namp135,namp135
HDD - Basilisk,Basilisk,Forest,namp136,namp136
HDD - Basilisk,Basilisk,Forest,namp154,namp154
