metric,scenario_ui_label,granularity,model_type,raw_type,model_family
HDD - Basilisk,Basilisk,Forest,FixedGrowth1.5%,FixedGrowth1.5%,Fixed growth baseline
HDD - Basilisk,Basilisk,Region,FixedGrowth1.5%,FixedGrowth1.5%,Fixed growth baseline
HDD - EDB,Consumer,Forest,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth1%_ARIMA_Ensemble,FixedGrowth1%_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth2%_ExponentialSmoothing_Ensemble,FixedGrowth2%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth4%_FixedGrowth5%_Ensemble,FixedGrowth4%_FixedGrowth5%_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Forest,FixedGrowth1%,FixedGrowth1%,Fixed growth baseline
HDD - EDB,Consumer,Forest,FixedGrowth2%,FixedGrowth2%,Fixed growth baseline
HDD - EDB,Consumer,Forest,FixedGrowth3%,FixedGrowth3%,Fixed growth baseline
HDD - EDB,Consumer,Forest,FixedGrowth4%,FixedGrowth4%,Fixed growth baseline
HDD - EDB,Consumer,Forest,FixedGrowth5%,FixedGrowth5%,Fixed growth baseline
HDD - EDB,Consumer,Forest,ARIMA,ARIMA,Statistical model
HDD - EDB,Consumer,Forest,ExponentialSmoothing,ExponentialSmoothing,Statistical model
HDD - EDB,Consumer,Region,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth1%_ARIMA_Ensemble,FixedGrowth1%_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth2%_ExponentialSmoothing_Ensemble,FixedGrowth2%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth2%_FixedGrowth1%_Ensemble,FixedGrowth2%_FixedGrowth1%_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth3%_FixedGrowth5%_Ensemble,FixedGrowth3%_FixedGrowth5%_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth4%_ARIMA_Ensemble,FixedGrowth4%_ARIMA_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth4%_FixedGrowth5%_Ensemble,FixedGrowth4%_FixedGrowth5%_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble,Ensemble
HDD - EDB,Consumer,Region,FixedGrowth1%,FixedGrowth1%,Fixed growth baseline
HDD - EDB,Consumer,Region,FixedGrowth2%,FixedGrowth2%,Fixed growth baseline
