check_id,source_object,metric_id,check_name,expected,observed,status,severity
forecast_substrateBE_hdd_region_metrics:source_exists,forecast_substrateBE_hdd_region_metrics,hdd_edb,source_exists,yes,yes,PASS,blocking
forecast_substrateBE_hdd_region_metrics:schema_valid,forecast_substrateBE_hdd_region_metrics,hdd_edb,schema_valid,yes,yes,PASS,blocking
forecast_substrateBE_hdd_region_metrics:row_count_positive,forecast_substrateBE_hdd_region_metrics,hdd_edb,row_count_positive,yes,yes,PASS,blocking
forecast_substrateBE_hdd_region_metrics:data_quality:ok,forecast_substrateBE_hdd_region_metrics,hdd_edb,rows_ok,counted_not_dropped,2505,PASS,informational
forecast_substrateBE_hdd_region_metrics:data_quality:duplicate_suspected,forecast_substrateBE_hdd_region_metrics,hdd_edb,rows_duplicate_suspected,counted_not_dropped,45,PASS,informational
forecast_substrateBE_hdd_forest_metrics:source_exists,forecast_substrateBE_hdd_forest_metrics,hdd_edb,source_exists,yes,yes,PASS,blocking
forecast_substrateBE_hdd_forest_metrics:schema_valid,forecast_substrateBE_hdd_forest_metrics,hdd_edb,schema_valid,yes,yes,PASS,blocking
forecast_substrateBE_hdd_forest_metrics:row_count_positive,forecast_substrateBE_hdd_forest_metrics,hdd_edb,row_count_positive,yes,yes,PASS,blocking
forecast_substrateBE_hdd_forest_metrics:data_quality:ok,forecast_substrateBE_hdd_forest_metrics,hdd_edb,rows_ok,counted_not_dropped,8673,PASS,informational
forecast_substrateBE_hdd_forest_metrics:data_quality:duplicate_suspected,forecast_substrateBE_hdd_forest_metrics,hdd_edb,rows_duplicate_suspected,counted_not_dropped,155,PASS,informational
forecast_substrateBE_ssd_phx_lvwe_metrics:source_exists,forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,source_exists,yes,yes,PASS,blocking
forecast_substrateBE_ssd_phx_lvwe_metrics:schema_valid,forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,schema_valid,yes,yes,PASS,blocking
forecast_substrateBE_ssd_phx_lvwe_metrics:row_count_positive,forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,row_count_positive,yes,yes,PASS,blocking
forecast_substrateBE_ssd_phx_lvwe_metrics:data_quality:ok,forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,rows_ok,counted_not_dropped,7639,PASS,informational
forecast_substrateBE_ssd_phx_lvwe_metrics:data_quality:duplicate_suspected,forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,rows_duplicate_suspected,counted_not_dropped,137,PASS,informational
