filter_name,filter_value,filter_label,parent_filter,parent_value,metric_id,db_type,scenario,scenario_status,granularity,entity_key,forecast_version,availability_status,computability_status,enabled,visible,reason_if_disabled,display_order,source_artifact
Metric,hdd_edb,HDD-EDB,,,hdd_edb,,,,,,,local_ingested,,true,true,,1,official_metrics_normalized.csv
Metric,ssd_phoenix,SSD-Phoenix,,,ssd_phoenix,,,,,,,partially_available,,true,true,,2,official_metrics_normalized.csv
Metric,ssd_mcdb,SSD-MCDB,,,ssd_mcdb,,,,,,,pending_stakeholder_mapping,,false,true,pending_stakeholder_mapping: Claimed to share a physical table with SSD-Phoenix Total without a confirmed discriminator column,3,metric_availability_status.csv
Metric,cpu,CPU,,,cpu,,,,,,,source_not_found,,false,true,source_not_found: Exact table name unverified and canonical key undecided,4,metric_availability_status.csv
Metric,iops,IOPS,,,iops,,,,,,,deferred,,false,true,deferred: Family confirmed to exist but no table name is documented,5,metric_availability_status.csv
Metric,hdd_basilisk,HDD-Basilisk,,,hdd_basilisk,,,,,,,deferred,,false,true,deferred: Scenario is being phased out upstream,6,metric_availability_status.csv
DB Type,hdd_edb::EDB,EDB,Metric,hdd_edb,hdd_edb,EDB,,,,,,not_ingested,,true,true,,1,official_metrics_normalized.csv
DB Type,ssd_phoenix::lv_with_efficiency,Low-Vol with Efficiency,Metric,ssd_phoenix,ssd_phoenix,lv_with_efficiency,,,,,,partially_available,,true,true,,2,official_metrics_normalized.csv
DB Type,ssd_phoenix::lv_no_efficiency,Low-Vol without Efficiency,Metric,ssd_phoenix,ssd_phoenix,lv_no_efficiency,,,,,,partially_available,,true,true,,3,official_metrics_normalized.csv
DB Type,ssd_phoenix::phx_total,phx_total,Metric,ssd_phoenix,ssd_phoenix,phx_total,,,,,,,,false,true,source_not_found: Table asserted by stakeholders and never located in evidence,4,metric_availability_status.csv
DB Type,ssd_phoenix::phx_organic,phx_organic,Metric,ssd_phoenix,ssd_phoenix,phx_organic,,,,,,,,false,true,source_not_found: Table asserted by stakeholders and never located in evidence,5,metric_availability_status.csv
DB Type,ssd_mcdb::mcdb_total,mcdb_total,Metric,ssd_mcdb,ssd_mcdb,mcdb_total,,,,,,,,false,true,pending_stakeholder_mapping: Claimed to share a physical table with SSD-Phoenix Total without a confirmed discriminator column,6,metric_availability_status.csv
DB Type,ssd_mcdb::mcdb_organic,mcdb_organic,Metric,ssd_mcdb,ssd_mcdb,mcdb_organic,,,,,,,,false,true,source_not_found: SKU grain below forest is not modelled by the current taxonomy,7,metric_availability_status.csv
DB Type,cpu::PENDING_CONFIRMATION,PENDING_CONFIRMATION,Metric,cpu,cpu,PENDING_CONFIRMATION,,,,,,,,false,true,source_not_found: Exact table name unverified and canonical key undecided,8,metric_availability_status.csv
DB Type,iops::PENDING_CONFIRMATION,PENDING_CONFIRMATION,Metric,iops,iops,PENDING_CONFIRMATION,,,,,,,,false,true,deferred: Family confirmed to exist but no table name is documented,9,metric_availability_status.csv
DB Type,hdd_basilisk::EDB,EDB,Metric,hdd_basilisk,hdd_basilisk,EDB,,,,,,,,false,true,deferred: Scenario is being phased out upstream,10,metric_availability_status.csv
Scenario,hdd_edb::EDB::not_applicable,Not applicable,DB Type,hdd_edb::EDB,hdd_edb,EDB,not_applicable,not_applicable,,,,,,false,true,Source has no scenario dimension,1,metric_availability_status.csv
Scenario,ssd_phoenix::lv_with_efficiency::not_applicable,Not applicable,DB Type,ssd_phoenix::lv_with_efficiency,ssd_phoenix,lv_with_efficiency,not_applicable,not_applicable,,,,,,false,true,Source has no scenario dimension,2,metric_availability_status.csv
Scenario,ssd_phoenix::lv_no_efficiency::not_applicable,Not applicable,DB Type,ssd_phoenix::lv_no_efficiency,ssd_phoenix,lv_no_efficiency,not_applicable,not_applicable,,,,,,false,true,Source has no scenario dimension,3,metric_availability_status.csv
Granularity,hdd_edb::EDB::not_applicable::region,region,Scenario,hdd_edb::EDB::not_applicable,hdd_edb,EDB,not_applicable,,region,,,,not_computable,true,true,,1,official_metrics_normalized.csv
Granularity,hdd_edb::EDB::not_applicable::forest,forest,Scenario,hdd_edb::EDB::not_applicable,hdd_edb,EDB,not_applicable,,forest,,,,accuracy_only,true,true,,2,official_metrics_normalized.csv
Granularity,ssd_phoenix::lv_with_efficiency::not_applicable::forest,forest,Scenario,ssd_phoenix::lv_with_efficiency::not_applicable,ssd_phoenix,lv_with_efficiency,not_applicable,,forest,,,,single_version_accuracy_only,true,true,,3,official_metrics_normalized.csv
Granularity,ssd_phoenix::lv_no_efficiency::not_applicable::forest,forest,Scenario,ssd_phoenix::lv_no_efficiency::not_applicable,ssd_phoenix,lv_no_efficiency,not_applicable,,forest,,,,single_version_accuracy_only,true,true,,4,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::APC-Dedicated,APC-Dedicated,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,APC-Dedicated,,,,true,true,,1,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::SGP-Go Local,SGP-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,SGP-Go Local,,,,true,true,,2,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::CAN-Go Local,CAN-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,CAN-Go Local,,,,true,true,,3,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::MEX-Go Local,MEX-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,MEX-Go Local,,,,true,true,,4,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::GBR-Go Local,GBR-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,GBR-Go Local,,,,true,true,,5,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::EUR-Go Local,EUR-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,EUR-Go Local,,,,true,true,,6,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::IND-Go Local,IND-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,IND-Go Local,,,,true,true,,7,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::KOR-Go Local,KOR-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,KOR-Go Local,,,,true,true,,8,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::APC-Multitenant,APC-Multitenant,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,APC-Multitenant,,,,true,true,,9,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::LAM-Multitenant,LAM-Multitenant,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,LAM-Multitenant,,,,true,true,,10,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-MSIT,NAM-MSIT,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-MSIT,,,,true,true,,11,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-Multitenant,NAM-Multitenant,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-Multitenant,,,,true,true,,12,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NOR-Go Local,NOR-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NOR-Go Local,,,,true,true,,13,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::DNK-Go Local,DNK-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,DNK-Go Local,,,,true,true,,14,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::NAM-TDF,NAM-TDF,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,NAM-TDF,,,,true,true,,15,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::IDN-Go Local,IDN-Go Local,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,IDN-Go Local,,,,true,true,,16,official_metrics_normalized.csv
Key,hdd_edb::EDB::not_applicable::region::EUR-Multitenant,EUR-Multitenant,Granularity,hdd_edb::EDB::not_applicable::region,hdd_edb,EDB,not_applicable,,region,EUR-Multitenant,,,,true,true,,17,official_metrics_normalized.csv
