"entity_key","model_name","model_origin","model_family","points","actual_points","min_date","max_date"
"APC-Dedicated","ARIMA_Fixed","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","ETS_Current","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","FixedGrowth_1_5","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","FixedGrowth_3","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","FixedGrowth_4","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","FixedGrowth_6","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","LinearRegression","baseline","machine_learning",360,0,"2025-05-03","2026-04-27"
"APC-Dedicated","AutoARIMA","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-Dedicated","ETS Explicit","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-Dedicated","FastNeuralAR_MLP","challenger","lightweight_neural",360,360,"2025-05-03","2026-04-27"
"APC-Dedicated","LightGBM","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"APC-Dedicated","Theta","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-Dedicated","XGBoost","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"APC-MSIT","ARIMA_Fixed","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","ETS_Current","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","FixedGrowth_1_5","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","FixedGrowth_3","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","FixedGrowth_4","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","FixedGrowth_6","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","LinearRegression","baseline","machine_learning",360,0,"2025-05-03","2026-04-27"
"APC-MSIT","AutoARIMA","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-MSIT","ETS Explicit","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-MSIT","FastNeuralAR_MLP","challenger","lightweight_neural",360,360,"2025-05-03","2026-04-27"
"APC-MSIT","LightGBM","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"APC-MSIT","Theta","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-MSIT","XGBoost","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"APC-Multitenant","ARIMA_Fixed","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","ETS_Current","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","FixedGrowth_1_5","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","FixedGrowth_3","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","FixedGrowth_4","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","FixedGrowth_6","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","LinearRegression","baseline","machine_learning",360,0,"2025-05-03","2026-04-27"
"APC-Multitenant","AutoARIMA","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-Multitenant","ETS Explicit","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-Multitenant","FastNeuralAR_MLP","challenger","lightweight_neural",360,360,"2025-05-03","2026-04-27"
"APC-Multitenant","LightGBM","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"APC-Multitenant","Theta","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"APC-Multitenant","XGBoost","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"AUS-Go Local","ARIMA_Fixed","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","ETS_Current","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","FixedGrowth_1_5","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","FixedGrowth_3","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","FixedGrowth_4","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","FixedGrowth_6","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","LinearRegression","baseline","machine_learning",360,0,"2025-05-03","2026-04-27"
"AUS-Go Local","AutoARIMA","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"AUS-Go Local","ETS Explicit","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"AUS-Go Local","FastNeuralAR_MLP","challenger","lightweight_neural",360,360,"2025-05-03","2026-04-27"
"AUS-Go Local","LightGBM","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"AUS-Go Local","Theta","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"AUS-Go Local","XGBoost","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"BRA-Go Local","ARIMA_Fixed","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","ETS_Current","baseline","statistical",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","FixedGrowth_1_5","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","FixedGrowth_3","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","FixedGrowth_4","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","FixedGrowth_6","baseline","growth_baseline",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","LinearRegression","baseline","machine_learning",360,0,"2025-05-03","2026-04-27"
"BRA-Go Local","AutoARIMA","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"BRA-Go Local","ETS Explicit","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"BRA-Go Local","FastNeuralAR_MLP","challenger","lightweight_neural",360,360,"2025-05-03","2026-04-27"
"BRA-Go Local","LightGBM","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
"BRA-Go Local","Theta","challenger","statistical",360,360,"2025-05-03","2026-04-27"
"BRA-Go Local","XGBoost","challenger","machine_learning",360,360,"2025-05-03","2026-04-27"
