readiness_check,status,observed_value,details
chart_engine,pass,highcharter,"highcharter 0.9.5 highchartOutput/renderHighchart used"
container_static_in_dom,pass,true,"highchartOutput('fvp_chart') declared in tabs.R section_explorer (not inside button-gated uiOutput)"
container_nonzero_width_on_render,pass,641px,"measured #fvp_chart offsetWidth after Analyze"
suspend_when_hidden_disabled,pass,false,"outputOptions(output,'fvp_chart',suspendWhenHidden=FALSE)"
model_groups_render_when_hidden,pass,false,"outputOptions(output,'fvp_model_groups',suspendWhenHidden=FALSE) so picker populates on first navigation"
empty_state_before_analyze,pass,present,"fvp_empty_chart placeholder renders before first Analyze click"
series_count_in_chart_actual_plus_models,pass,8,"1 Actual + 7 model lines for a 7-model selection"
actual_points,pass,360,"dense actual line across all pilot target dates"
forecast_points_per_model,pass,12,"per model per single horizon"
forecast_points_total_drawn,pass,84,"7 models x 12 points (horizon 10 example)"
all_series_visible_on_fresh_render,pass,true,"verified via Highcharts API series.visible == true for all 8 series"
legend_present,pass,true,"legend lists Actual + each model with champion/high-risk badges"
high_risk_dashed_not_hidden,pass,true,"high-risk models drawn with ShortDash style, still visible and labeled"
champion_labeled,pass,true,"ETS Explicit shown with champion star in legend and tooltip"
xaxis_datetime,pass,"May '25 -> Mar '26","datetime axis spanning pilot window"
horizon_switch_updates_chart,pass,true,"subtitle reflects selected horizon; chart re-rendered on Analyze"
tooltip_fields_present,pass,true,"date, forecast value, horizon, family, risk in forecast tooltips"
resize_on_section_show,pass,true,"custom.js dispatches resize when section becomes active; chart reflows"
no_render_errors,pass,true,"no Error lines in stderr after outputOptions ordering fix"
