"artifact","column","r_type","n_rows","example"
"forecasts","entity_key","character",65095,"APC-Dedicated"
"forecasts","date","Date",65095,"2026-04-28"
"forecasts","forecast_value","numeric",65095,"29.104001"
"forecasts","model_version","character",65095,"FixedGrowth1%"
"forecasts","forecast_version","Date",65095,"2026-05-01"
"forecasts","scenario","character",65095,"Enterprise"
"forecasts","resource","character",65095,"HDD"
"forecasts","value_type","character",65095,"Forecast-Mean"
"forecasts","source_file","character",65095,"hdd_region_forecasts.csv"
"actuals","entity_key","character",84537,"APC-Dedicated"
"actuals","date","Date",84537,"2019-07-01"
"actuals","actual_value","numeric",84537,"120.227"
"actuals","forecast_version","Date",84537,"2026-05-01"
"actuals","scenario","character",84537,"Enterprise"
"actuals","resource","character",84537,"HDD"
"actuals","source_file","character",84537,"hdd_region_actuals.csv"
"entities","entity_key","character",45,"APC-Dedicated"
"entities","first_actual_date","Date",45,"2019-07-01"
"entities","last_actual_date","Date",45,"2026-04-27"
"entities","first_forecast_date","Date",45,"2026-04-28"
"entities","last_forecast_date","Date",45,"2030-04-13"
"entities","actual_rows","numeric",45,"2491"
"entities","forecast_rows","numeric",45,"1447"
"entities","model_count","numeric",45,"1"
"forecast_comparison","entity_key","character",0,NA
"forecast_comparison","date","character",0,NA
"forecast_comparison","actual_value","character",0,NA
"forecast_comparison","forecast_value","character",0,NA
"forecast_comparison","model_version","character",0,NA
"forecast_comparison","forecast_version","character",0,NA
"forecast_comparison","scenario","character",0,NA
"forecast_comparison","resource","character",0,NA
"forecast_comparison","value_type","character",0,NA
"forecast_comparison","horizon_days","character",0,NA
"forecast_comparison","horizon_bucket","character",0,NA
"run_metadata","run_timestamp","POSIXct",1,"2026-06-10 09:58:29"
"run_metadata","forecast_version","Date",1,"2026-05-01"
"run_metadata","actual_rows","numeric",1,"84537"
"run_metadata","forecast_rows","numeric",1,"65095"
"run_metadata","comparison_rows","numeric",1,"0"
"run_metadata","entity_count","numeric",1,"45"
"run_metadata","model_count","numeric",1,"16"
"run_metadata","first_actual_date","Date",1,"2019-07-01"
"run_metadata","last_actual_date","Date",1,"2026-04-27"
"run_metadata","first_forecast_date","Date",1,"2026-04-28"
"run_metadata","last_forecast_date","Date",1,"2030-04-25"
"run_metadata","notes","character",1,"Stage 4.1 data contract build. Same-date actual/forecast comparison only; no errors, metrics, rankings, imputations, or shifted dates."
