check,expected,observed,status,evidence
v5_root_confirmed,active root = V5,V5\ACTIVE_PROJECT_ROOT.md present,PASS,workspace
v5_0a_closed,V5_0A_BASELINE_CLONE_COMPLETED,outputs/v5_0a_baseline_clone present,PASS,outputs
v5_0b_closed,V5_0B_DOCKER_READINESS_REPRODUCIBILITY_COMPLETED,outputs/v5_0b_docker_readiness present,PASS,outputs
v5_1_closed,V5_1_DOCKERFILE_DASHBOARD_IMAGE_COMPLETED,outputs/v5_1_dockerfile_dashboard present,PASS,outputs
v5_2_closed,V5_2_DOCKER_COMPOSE_SHINY_SERVICE_COMPLETED,outputs/v5_2_docker_compose_shiny present,PASS,outputs
docker_daemon_active,running,server 29.6.1,PASS,docker version
docker_compose_available,yes,docker compose plugin present,PASS,docker compose
compose_file_exists,docker-compose.yml,present at V5 root,PASS,list_dir
service_shiny_single,only shiny,docker compose config --services = shiny,PASS,compose config
no_refresh_service,absent,none,PASS,compose config
no_scheduler_service,absent,none,PASS,compose config
no_sql_azure_llm_service,absent,none,PASS,compose config
image_v5_1_exists,aegis-dashboard:v5.1,id ed86271fff04,PASS,docker images
container_v5_2_running,running/healthy,aegis-dashboard-v5-2 Up healthy,PASS,docker compose ps
dashboard_available,HTTP 200,HTTP 200 LEN 303385 @8080,PASS,Invoke-WebRequest
data_not_modified_intent,processed/raw untouched,RO mounts only; baseline captured,PASS,compose design
baseline_processed_hash,captured,count=24 size=144682147 aggsha=B0880D33F488D7E77EED32F12E214D61,PASS,snapshot
baseline_raw_hash,captured,count=6 size=17860045 aggsha=BD44163AC0DB7E0CD7F8B08EB120973D,PASS,snapshot
baseline_image_id,captured,ed86271fff04,PASS,docker images
