artifact_id,logical_name,source_area,host_path,container_path,required_yes_no,runtime_used_yes_no,page_or_module,loader_function,expected_mount,read_only_expected,exists_on_host,exists_in_container,size_bytes,sha256_if_file,status,notes
key_results,model_lab_key_results,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv,yes,yes,Home/Overview,load_governed_artifacts,outputs,yes,TRUE,TRUE,1283,tracked_via_aggregate_snapshot,required_available,critical governed
champion_summary,model_lab_champion_summary,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,yes,yes,Champion,load_governed_artifacts,outputs,yes,TRUE,TRUE,485,tracked_via_aggregate_snapshot,required_available,critical governed
final_model_universe,model_lab_final_model_universe,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,yes,yes,Universe,load_governed_artifacts,outputs,yes,TRUE,TRUE,1785,tracked_via_aggregate_snapshot,required_available,critical governed
risk_register_final,model_lab_risk_register_final,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,yes,yes,Risks,load_governed_artifacts,outputs,yes,TRUE,TRUE,1359,tracked_via_aggregate_snapshot,required_available,critical governed
deferred_models,model_lab_deferred_models,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv,no,yes,Risks,load_governed_artifacts,outputs,yes,TRUE,TRUE,445,tracked_via_aggregate_snapshot,optional_available,optional
next_steps,model_lab_next_steps,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_next_steps.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_next_steps.csv,no,yes,Audit,load_governed_artifacts,outputs,yes,TRUE,TRUE,818,tracked_via_aggregate_snapshot,optional_available,optional
dashboard_handoff_manifest,model_lab_dashboard_handoff_manifest,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_dashboard_handoff_manifest.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_dashboard_handoff_manifest.csv,no,yes,Artifacts,load_governed_artifacts,outputs,yes,TRUE,TRUE,2140,tracked_via_aggregate_snapshot,optional_available,optional
artifact_manifest,model_lab_artifact_manifest,outputs,./outputs/model_lab/model_lab_closure_pack/model_lab_artifact_manifest.csv,/app/outputs/model_lab/model_lab_closure_pack/model_lab_artifact_manifest.csv,no,yes,Artifacts,load_governed_artifacts,outputs,yes,TRUE,TRUE,1682,tracked_via_aggregate_snapshot,optional_available,optional
tournament_standings,tournament_preliminary_standings,outputs,./outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,/app/outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,yes,yes,Tournament,load_governed_artifacts,outputs,yes,TRUE,TRUE,1983,tracked_via_aggregate_snapshot,required_available,critical governed
tournament_scorecard,tournament_model_scorecard,outputs,./outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,/app/outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,yes,yes,Tournament,load_governed_artifacts,outputs,yes,TRUE,TRUE,2598,tracked_via_aggregate_snapshot,required_available,critical governed
