artifact,path,rows,columns,hash,created_at,purpose,consumer,status
official_metrics_normalized.csv,outputs/metrics_multi/official_metrics_normalized.csv,27067,44,71ADE424591658C865FB5DA48BC60042CB53F6CD48CF07F7D710F2DCB88AC422,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
official_metric_rankings.csv,outputs/metrics_multi/official_metric_rankings.csv,873,29,230989E514814ADDFDF73586CBF9C369AD9DE82D1D1B67F51A959C96D206BC82,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_filter_options.csv,outputs/metrics_multi/metric_filter_options.csv,1381,19,0DFD3C94162DECB6967EDA56E15063F5DA1654D40445B7B1BD1583A9ABFD7DBA,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_availability_status.csv,outputs/metrics_multi/metric_availability_status.csv,16,17,FE1578F49BD8017532869FB88BCEBEC10EB60B9AA44CC25D098E561038E4264C,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_computability_status.csv,outputs/metrics_multi/metric_computability_status.csv,16,15,1191B8E17F340C19D5AA156DED0F3BEEA25A07E2FBC496AAAF995AF6FCBF1135,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_source_lineage.csv,outputs/metrics_multi/metric_source_lineage.csv,16,13,11C961B95F3A6AA92D0B224AFB15F78D1602E496AF4396FBBFD7A8B8EE4130C8,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_data_quality_checks.csv,outputs/metrics_multi/metric_data_quality_checks.csv,72,8,564C4C31670A6FFA481D29BA1C7208ECBE7EC4333E935ECC8F0B643DF5A1B21A,2026-08-12T01:39:44+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_registry_resolved.csv,outputs/metrics_multi/metric_registry_resolved.csv,16,21,69E2ADA1F73CFEA661AA3290DB6878F70BE863AB82AFB4816A0645873C6106FF,2026-08-12T01:39:43+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
assistant_metric_context.csv,outputs/metrics_multi/assistant_metric_context.csv,873,20,77B3AB4DF5DDF9B5B86C83E39EA722CEDF0824B8F2A0F8DF9A4E7C359B671CBF,2026-08-12T01:39:44+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
metric_assistant_evidence_pack.json,outputs/metrics_multi/metric_assistant_evidence_pack.json,11,8,2A66C753034BB1D45DAB28F30975C6A1FC6163C34CEA8C53CA757642BB00A63F,2026-08-12T01:39:44+00:00,multi-metric official artifact,V6.0F Shiny integration,CREATED
