schema,table_name,column_name,data_type,ordinal
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Fleet,nvarchar,1
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Workload,nvarchar,2
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Resource,nvarchar,3
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Unit,nvarchar,4
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Type,nvarchar,5
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Scenario,nvarchar,6
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,DateTime,date,7
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,nvarchar,8
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,Value,float,9
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,ValueType,nvarchar,10
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,ModelVersion,nvarchar,11
dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,ForecastVersion,date,12
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Workload,nvarchar,1
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Fleet,nvarchar,2
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Unit,nvarchar,3
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Type,nvarchar,4
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Scenario,nvarchar,5
dbo,forecast_substrateBE_SSD_Phoenix_Organic,DateTime,datetime2,6
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Forest,nvarchar,7
dbo,forecast_substrateBE_SSD_Phoenix_Organic,Value,float,8
dbo,forecast_substrateBE_SSD_Phoenix_Organic,ValueType,nvarchar,9
dbo,forecast_substrateBE_SSD_Phoenix_Organic,ModelVersion,nvarchar,10
dbo,forecast_substrateBE_SSD_Phoenix_Organic,ForecastVersion,date,11
dbo,forecast_substrateBE_SSD_TotalForecast,Fleet,varchar,1
dbo,forecast_substrateBE_SSD_TotalForecast,Workload,varchar,2
dbo,forecast_substrateBE_SSD_TotalForecast,Resource,varchar,3
dbo,forecast_substrateBE_SSD_TotalForecast,Unit,varchar,4
dbo,forecast_substrateBE_SSD_TotalForecast,Type,varchar,5
dbo,forecast_substrateBE_SSD_TotalForecast,Datetime,date,6
dbo,forecast_substrateBE_SSD_TotalForecast,Key,varchar,7
dbo,forecast_substrateBE_SSD_TotalForecast,Value,float,8
dbo,forecast_substrateBE_SSD_TotalForecast,ForecastVersion,date,9
dbo,forecast_substrateBE_SSD_TotalForecast,Scenario,varchar,10
dbo,forecast_substrateBE_SSD_TotalForecast,ScenarioId,varchar,11
dbo,forecast_substrateBE_cpu,datadate,date,1
dbo,forecast_substrateBE_cpu,Forest_SKU,nvarchar,2
dbo,forecast_substrateBE_cpu,forecast,float,3
dbo,forecast_substrateBE_cpu,type,nvarchar,4
dbo,forecast_substrateBE_cpu,forecastdate,date,5
dbo,forecast_substrateBE_cpu,CPU_type,nvarchar,6
dbo,forecast_substrateBE_cpu,forecast_adjust,float,7
dbo,forecast_substrateBE_cpu_byDB_forest,Fleet,varchar,1
dbo,forecast_substrateBE_cpu_byDB_forest,Workload,varchar,2
dbo,forecast_substrateBE_cpu_byDB_forest,DBType,varchar,3
dbo,forecast_substrateBE_cpu_byDB_forest,Resource,varchar,4
dbo,forecast_substrateBE_cpu_byDB_forest,Unit,varchar,5
dbo,forecast_substrateBE_cpu_byDB_forest,Type,varchar,6
dbo,forecast_substrateBE_cpu_byDB_forest,Scenario,varchar,7
dbo,forecast_substrateBE_cpu_byDB_forest,Datetime,date,8
dbo,forecast_substrateBE_cpu_byDB_forest,MyKey,varchar,9
dbo,forecast_substrateBE_cpu_byDB_forest,Value,float,10
dbo,forecast_substrateBE_cpu_byDB_forest,ValueType,varchar,11
dbo,forecast_substrateBE_cpu_byDB_forest,ModelVersion,varchar,12
dbo,forecast_substrateBE_cpu_byDB_forest,ForecastVersion,date,13
dbo,forecast_substrateBE_cpu_byDB_region,Fleet,varchar,1
dbo,forecast_substrateBE_cpu_byDB_region,Workload,varchar,2
dbo,forecast_substrateBE_cpu_byDB_region,DBType,varchar,3
dbo,forecast_substrateBE_cpu_byDB_region,Resource,varchar,4
dbo,forecast_substrateBE_cpu_byDB_region,Unit,varchar,5
dbo,forecast_substrateBE_cpu_byDB_region,Type,varchar,6
dbo,forecast_substrateBE_cpu_byDB_region,Scenario,varchar,7
dbo,forecast_substrateBE_cpu_byDB_region,Datetime,date,8
dbo,forecast_substrateBE_cpu_byDB_region,MyKey,varchar,9
dbo,forecast_substrateBE_cpu_byDB_region,Value,float,10
dbo,forecast_substrateBE_cpu_byDB_region,ValueType,varchar,11
dbo,forecast_substrateBE_cpu_byDB_region,ModelVersion,varchar,12
dbo,forecast_substrateBE_cpu_byDB_region,ForecastVersion,date,13
dbo,forecast_substrateBE_cpu_region,Fleet,varchar,1
dbo,forecast_substrateBE_cpu_region,Workload,varchar,2
dbo,forecast_substrateBE_cpu_region,Resource,varchar,3
dbo,forecast_substrateBE_cpu_region,Unit,varchar,4
dbo,forecast_substrateBE_cpu_region,Type,varchar,5
dbo,forecast_substrateBE_cpu_region,Scenario,varchar,6
dbo,forecast_substrateBE_cpu_region,Datetime,date,7
dbo,forecast_substrateBE_cpu_region,Key,varchar,8
dbo,forecast_substrateBE_cpu_region,Value,float,9
dbo,forecast_substrateBE_cpu_region,ValueType,varchar,10
dbo,forecast_substrateBE_cpu_region,ModelVersion,varchar,11
dbo,forecast_substrateBE_cpu_region,ForecastVersion,date,12
dbo,forecast_substrateBE_hdd,forest_name,char,1
dbo,forecast_substrateBE_hdd,target_date,datetime,2
dbo,forecast_substrateBE_hdd,forecast_mean,float,3
dbo,forecast_substrateBE_hdd,forecast_p90,float,4
dbo,forecast_substrateBE_hdd,forecast_p95,float,5
dbo,forecast_substrateBE_hdd,write_time,datetime,6
dbo,forecast_substrateBE_hdd,type,nchar,7
dbo,forecast_substrateBE_hdd,execution_time,datetime,8
dbo,forecast_substrateBE_hdd,data_type,varchar,9
dbo,forecast_substrateBE_hdd_region,DateTime,date,1
dbo,forecast_substrateBE_hdd_region,Key,varchar,2
dbo,forecast_substrateBE_hdd_region,Value,float,3
dbo,forecast_substrateBE_hdd_region,ModelVersion,varchar,4
dbo,forecast_substrateBE_hdd_region,ForecastVersion,date,5
dbo,forecast_substrateBE_hdd_region,Fleet,varchar,6
dbo,forecast_substrateBE_hdd_region,Workload,varchar,7
dbo,forecast_substrateBE_hdd_region,Resource,varchar,8
dbo,forecast_substrateBE_hdd_region,Unit,varchar,9
dbo,forecast_substrateBE_hdd_region,Type,varchar,10
dbo,forecast_substrateBE_hdd_region,Scenario,varchar,11
dbo,forecast_substrateBE_hdd_region,ValueType,varchar,12
dbo,forecast_substrateBE_iops,datadate,date,1
dbo,forecast_substrateBE_iops,Forest_SKU,varchar,2
dbo,forecast_substrateBE_iops,forecast,float,3
dbo,forecast_substrateBE_iops,type,varchar,4
dbo,forecast_substrateBE_iops,forecastdate,date,5
dbo,forecast_substrateBE_iops,IOPS_type,varchar,6
dbo,forecast_substrateBE_iops,forecast_adjust,float,7
dbo,forecast_substrateBE_iops_region,Fleet,varchar,1
dbo,forecast_substrateBE_iops_region,Workload,varchar,2
dbo,forecast_substrateBE_iops_region,Resource,varchar,3
dbo,forecast_substrateBE_iops_region,Unit,varchar,4
dbo,forecast_substrateBE_iops_region,Type,varchar,5
dbo,forecast_substrateBE_iops_region,Scenario,varchar,6
dbo,forecast_substrateBE_iops_region,Datetime,date,7
dbo,forecast_substrateBE_iops_region,Key,varchar,8
dbo,forecast_substrateBE_iops_region,Value,float,9
dbo,forecast_substrateBE_iops_region,ValueType,varchar,10
dbo,forecast_substrateBE_iops_region,ModelVersion,varchar,11
dbo,forecast_substrateBE_iops_region,ForecastVersion,date,12
dbo,SubstrateBE_SSD_Demand_History,DataDate,date,1
dbo,SubstrateBE_SSD_Demand_History,Environment,nvarchar,2
dbo,SubstrateBE_SSD_Demand_History,Region,nvarchar,3
