expected_table,schema,actual_name,table_type,status
SubstrateBE_Ssd_MCDB_ForecastForestSKU,dbo,SubstrateBE_Ssd_MCDB_ForecastForestSKU,BASE TABLE,EXISTS
forecast_substrateBE_SSD_Phoenix_Organic,dbo,forecast_substrateBE_SSD_Phoenix_Organic,BASE TABLE,EXISTS
forecast_substrateBE_SSD_TotalForecast,dbo,forecast_substrateBE_SSD_TotalForecast,BASE TABLE,EXISTS
forecast_substrateBE_cpu,dbo,forecast_substrateBE_cpu,BASE TABLE,EXISTS
forecast_substrateBE_cpu_byDB_forest,dbo,forecast_substrateBE_cpu_byDB_forest,BASE TABLE,EXISTS
forecast_substrateBE_cpu_byDB_region,dbo,forecast_substrateBE_cpu_byDB_region,BASE TABLE,EXISTS
forecast_substrateBE_cpu_region,dbo,forecast_substrateBE_cpu_region,BASE TABLE,EXISTS
forecast_substrateBE_hdd,dbo,forecast_substrateBE_hdd,BASE TABLE,EXISTS
forecast_substrateBE_hdd_region,dbo,forecast_substrateBE_hdd_region,BASE TABLE,EXISTS
forecast_substrateBE_iops,dbo,forecast_substrateBE_iops,BASE TABLE,EXISTS
forecast_substrateBE_iops_region,dbo,forecast_substrateBE_iops_region,BASE TABLE,EXISTS
