raw_type_value,ui_type_label,classification,model_family,is_actual,is_model,is_baseline,is_candidate,row_count,expose_in_viewer,notes
Arima,Arima,statistical,Statistical model,False,True,False,True,6416434,yes,stored space-padded; TRIM required for matching
actual,actual,actual,Actual,True,False,False,False,4372036,yes,stored space-padded; TRIM required for matching
"Arima+Fixed_0.015(0.5,0.5)","Arima+Fixed_0.015(0.5,0.5)",ensemble,Ensemble,False,True,False,True,4286323,yes,stored space-padded; TRIM required for matching
Fixed_0.015,Fixed_0.015,baseline_fixed,Fixed rate baseline,False,True,True,False,2858966,yes,stored space-padded; TRIM required for matching
Linear,Linear,statistical,Statistical model,False,True,False,True,2682438,yes,stored space-padded; TRIM required for matching
bsts_trend,bsts_trend,statistical,Statistical model,False,True,False,True,2287040,yes,stored space-padded; TRIM required for matching
"Arima+Linear(0.5,0.5)","Arima+Linear(0.5,0.5)",ensemble,Ensemble,False,True,False,True,2031501,yes,stored space-padded; TRIM required for matching
ETS_AAZ180HaLb,ETS_AAZ180HaLb,statistical,Statistical model,False,True,False,True,1790015,yes,stored space-padded; TRIM required for matching
Fixed_0.01,Fixed_0.01,baseline_fixed,Fixed rate baseline,False,True,True,False,1743979,yes,stored space-padded; TRIM required for matching
"Arima+Prophet(0.5,0.5)","Arima+Prophet(0.5,0.5)",ensemble,Ensemble,False,True,False,True,1485994,yes,stored space-padded; TRIM required for matching
"Arima+bsts_trend(0.5,0.5)","Arima+bsts_trend(0.5,0.5)",ensemble,Ensemble,False,True,False,True,1270940,yes,stored space-padded; TRIM required for matching
Prophet,Prophet,statistical,Statistical model,False,True,False,True,1264180,yes,stored space-padded; TRIM required for matching
"Arima+Fixed_0.04(0.5,0.5)","Arima+Fixed_0.04(0.5,0.5)",ensemble,Ensemble,False,True,False,True,1188350,yes,stored space-padded; TRIM required for matching
"Prophet+Linear(0.5,0.5)","Prophet+Linear(0.5,0.5)",ensemble,Ensemble,False,True,False,True,1107495,yes,stored space-padded; TRIM required for matching
"Arima+Fixed_0.02(0.5,0.5)","Arima+Fixed_0.02(0.5,0.5)",ensemble,Ensemble,False,True,False,True,1106469,yes,stored space-padded; TRIM required for matching
"bsts_trend+Linear(0.5,0.5)","bsts_trend+Linear(0.5,0.5)",ensemble,Ensemble,False,True,False,True,1092043,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+Linear(0.5,0.5)","ETS_AAZ180HaLb+Linear(0.5,0.5)",ensemble,Ensemble,False,True,False,True,870713,yes,stored space-padded; TRIM required for matching
FixedGrowth1%,FixedGrowth1%,baseline_growth,Fixed growth baseline,False,True,True,False,834439,yes,stored space-padded; TRIM required for matching
Fixed_0.04,Fixed_0.04,baseline_fixed,Fixed rate baseline,False,True,True,False,772492,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+bsts_trend(0.5,0.5)","ETS_AAZ180HaLb+bsts_trend(0.5,0.5)",ensemble,Ensemble,False,True,False,True,553450,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+Fixed_0.015(0.5,0.5)","ETS_AAZ180HaLb+Fixed_0.015(0.5,0.5)",ensemble,Ensemble,False,True,False,True,530995,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+Fixed_0.015(0.5,0.5)","ETS_AAZ180HaHb+Fixed_0.015(0.5,0.5)",ensemble,Ensemble,False,True,False,True,499717,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+Fixed_0.04(0.5,0.5)","ETS_AAZ180HaLb+Fixed_0.04(0.5,0.5)",ensemble,Ensemble,False,True,False,True,472899,yes,stored space-padded; TRIM required for matching
"Arima+Fixed_0.03(0.5,0.5)","Arima+Fixed_0.03(0.5,0.5)",ensemble,Ensemble,False,True,False,True,466066,yes,stored space-padded; TRIM required for matching
"Prophet+bsts_trend(0.5,0.5)","Prophet+bsts_trend(0.5,0.5)",ensemble,Ensemble,False,True,False,True,406333,yes,stored space-padded; TRIM required for matching
"Arima+Fixed_0.05(0.5,0.5)","Arima+Fixed_0.05(0.5,0.5)",ensemble,Ensemble,False,True,False,True,396060,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+Fixed_0.02(0.5,0.5)","ETS_AAZ180HaHb+Fixed_0.02(0.5,0.5)",ensemble,Ensemble,False,True,False,True,364411,yes,stored space-padded; TRIM required for matching
Fixed_0.02,Fixed_0.02,baseline_fixed,Fixed rate baseline,False,True,True,False,360646,yes,stored space-padded; TRIM required for matching
"Prophet+Fixed_0.04(0.5,0.5)","Prophet+Fixed_0.04(0.5,0.5)",ensemble,Ensemble,False,True,False,True,359844,yes,stored space-padded; TRIM required for matching
"bsts_trend+Fixed_0.04(0.5,0.5)","bsts_trend+Fixed_0.04(0.5,0.5)",ensemble,Ensemble,False,True,False,True,334056,yes,stored space-padded; TRIM required for matching
"Arima+Fixed_0.06(0.5,0.5)","Arima+Fixed_0.06(0.5,0.5)",ensemble,Ensemble,False,True,False,True,331850,yes,stored space-padded; TRIM required for matching
ETS_AAZ180HaHb,ETS_AAZ180HaHb,statistical,Statistical model,False,True,False,True,330320,yes,stored space-padded; TRIM required for matching
Fixed_0.017,Fixed_0.017,baseline_fixed,Fixed rate baseline,False,True,True,False,297368,yes,stored space-padded; TRIM required for matching
"Fixed_0.015+Linear(0.5,0.5)","Fixed_0.015+Linear(0.5,0.5)",ensemble,Ensemble,False,True,False,True,293325,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+Fixed_0.03(0.5,0.5)","ETS_AAZ180HaHb+Fixed_0.03(0.5,0.5)",ensemble,Ensemble,False,True,False,True,281861,yes,stored space-padded; TRIM required for matching
FixedGrowth2%,FixedGrowth2%,baseline_growth,Fixed growth baseline,False,True,True,False,281455,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+Arima(0.5,0.5)","ETS_AAZ180HaHb+Arima(0.5,0.5)",ensemble,Ensemble,False,True,False,True,259930,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+Fixed_0.05(0.5,0.5)","ETS_AAZ180HaLb+Fixed_0.05(0.5,0.5)",ensemble,Ensemble,False,True,False,True,245647,yes,stored space-padded; TRIM required for matching
Fixed_0.026,Fixed_0.026,baseline_fixed,Fixed rate baseline,False,True,True,False,238853,yes,stored space-padded; TRIM required for matching
"Prophet+Fixed_0.05(0.5,0.5)","Prophet+Fixed_0.05(0.5,0.5)",ensemble,Ensemble,False,True,False,True,227797,yes,stored space-padded; TRIM required for matching
FixedGrowth1.5%,FixedGrowth1.5%,baseline_growth,Fixed growth baseline,False,True,True,False,224595,yes,stored space-padded; TRIM required for matching
Fixed_0.007,Fixed_0.007,baseline_fixed,Fixed rate baseline,False,True,True,False,223219,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+ETS_AAZ180La(0.5,0.5)","ETS_AAZ180HaLb+ETS_AAZ180La(0.5,0.5)",ensemble,Ensemble,False,True,False,True,213111,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+Fixed_0.04(0.5,0.5)","ETS_AAZ180HaHb+Fixed_0.04(0.5,0.5)",ensemble,Ensemble,False,True,False,True,201879,yes,stored space-padded; TRIM required for matching
Fixed_0.05,Fixed_0.05,baseline_fixed,Fixed rate baseline,False,True,True,False,193179,yes,stored space-padded; TRIM required for matching
Fixed_0.03,Fixed_0.03,baseline_fixed,Fixed rate baseline,False,True,True,False,192187,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+ETS_AAZ180La(0.5,0.5)","ETS_AAZ180HaHb+ETS_AAZ180La(0.5,0.5)",ensemble,Ensemble,False,True,False,True,175714,yes,stored space-padded; TRIM required for matching
Fixed_0.011,Fixed_0.011,baseline_fixed,Fixed rate baseline,False,True,True,False,172601,yes,stored space-padded; TRIM required for matching
Fixed_0.018,Fixed_0.018,baseline_fixed,Fixed rate baseline,False,True,True,False,172098,yes,stored space-padded; TRIM required for matching
"Fixed_0.015+Fixed_0.02(0.5,0.5)","Fixed_0.015+Fixed_0.02(0.5,0.5)",ensemble,Ensemble,False,True,False,True,171909,yes,stored space-padded; TRIM required for matching
ETS_AAZ180La,ETS_AAZ180La,statistical,Statistical model,False,True,False,True,169840,yes,stored space-padded; TRIM required for matching
"bsts_regression+Fixed_0.015(0.5,0.5)","bsts_regression+Fixed_0.015(0.5,0.5)",ensemble,Ensemble,False,True,False,True,168303,yes,stored space-padded; TRIM required for matching
FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble,ensemble,Ensemble,False,True,False,True,167806,yes,stored space-padded; TRIM required for matching
ExponentialSmoothing,ExponentialSmoothing,statistical,Statistical model,False,True,False,True,167610,yes,stored space-padded; TRIM required for matching
"Fixed_0.02+Fixed_0.03(0.5,0.5)","Fixed_0.02+Fixed_0.03(0.5,0.5)",ensemble,Ensemble,False,True,False,True,167036,yes,stored space-padded; TRIM required for matching
FixedGrowth3%,FixedGrowth3%,baseline_growth,Fixed growth baseline,False,True,True,False,166209,yes,stored space-padded; TRIM required for matching
Fixed_0.019,Fixed_0.019,baseline_fixed,Fixed rate baseline,False,True,True,False,163380,yes,stored space-padded; TRIM required for matching
bsts_regression,bsts_regression,statistical,Statistical model,False,True,False,True,156328,yes,stored space-padded; TRIM required for matching
FixedGrowth1%_ExponentialSmoothing_Ensemble,FixedGrowth1%_ExponentialSmoothing_Ensemble,ensemble,Ensemble,False,True,False,True,149017,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+Arima(0.5,0.5)","ETS_AAZ180HaLb+Arima(0.5,0.5)",ensemble,Ensemble,False,True,False,True,133959,yes,stored space-padded; TRIM required for matching
FixedGrowth4%,FixedGrowth4%,baseline_growth,Fixed growth baseline,False,True,True,False,131505,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaHb+Prophet(0.5,0.5)","ETS_AAZ180HaHb+Prophet(0.5,0.5)",ensemble,Ensemble,False,True,False,True,131038,yes,stored space-padded; TRIM required for matching
"ETS_AAZ180HaLb+Fixed_0.06(0.5,0.5)","ETS_AAZ180HaLb+Fixed_0.06(0.5,0.5)",ensemble,Ensemble,False,True,False,True,121453,yes,stored space-padded; TRIM required for matching
