"category","extension","file_count","total_size_mb","dashboard_feeding_count","evidence_only_count","contract_only_count","productive_runtime_input_count"
"CONTRACT_SPEC","csv","190","1.96","0","0","190","0"
"CONTRACT_SPEC","docx","1","0.01","0","0","1","0"
"CONTRACT_SPEC","html","1","0.002","0","0","1","0"
"CONTRACT_SPEC","json","2","0.009","0","0","2","0"
"CONTRACT_SPEC","log","4","0.002","0","0","4","0"
"CONTRACT_SPEC","md","58","0.175","0","0","58","0"
"CONTRACT_SPEC","pdf","1","0.1","0","0","1","0"
"CONTRACT_SPEC","r","3","0.016","0","0","3","0"
"CONTRACT_SPEC","txt","1","0.001","0","0","1","0"
"DASHBOARD_PRODUCTIVE_INPUT","csv","39","107.045","39","0","0","39"
"DASHBOARD_PRODUCTIVE_INPUT","md","2","0.01","2","0","0","2"
"EVIDENCE_ARTIFACT","css","7","0.092","0","7","0","0"
"EVIDENCE_ARTIFACT","csv","1223","1266.813","0","1223","0","0"
"EVIDENCE_ARTIFACT","docx","1","0.01","0","1","0","0"
"EVIDENCE_ARTIFACT","duckdb","1","23.512","0","1","0","0"
"EVIDENCE_ARTIFACT","html","1","0.002","0","1","0","0"
"EVIDENCE_ARTIFACT","js","3","0.006","0","3","0","0"
"EVIDENCE_ARTIFACT","json","12","0.167","0","12","0","0"
"EVIDENCE_ARTIFACT","log","272","1.443","0","272","0","0"
"EVIDENCE_ARTIFACT","md","252","0.983","0","252","0","0"
"EVIDENCE_ARTIFACT","pdf","1","0.103","0","1","0","0"
"EVIDENCE_ARTIFACT","png","4","0.753","0","4","0","0"
"EVIDENCE_ARTIFACT","py","9","0.1","0","9","0","0"
"EVIDENCE_ARTIFACT","r","72","0.708","0","72","0","0"
"EVIDENCE_ARTIFACT","sql","1","0.003","0","1","0","0"
"EVIDENCE_ARTIFACT","txt","19","0.028","0","19","0","0"
"GOVERNED_EXTRACTION_DATA","csv","3","421.344","0","0","0","0"
"PROCESSED_DATA","csv","5","30.984","0","0","0","0"
"RESOLVER_SOURCE","r","1","0.011","0","0","0","0"
"STORAGE_PRODUCTIVE_DATA","csv","5","0.061","0","0","0","5"
"STORAGE_PRODUCTIVE_DATA","duckdb","1","25.762","0","0","0","1"
