metric,scenario,granularity,key_column,key_count,has_actuals,viewer_eligible,forecast_eligible,current_backtest_available,current_forecast_available,notes
HDD - EDB,Enterprise,Region,Key,45,TRUE,TRUE,TRUE,PARTIAL_39_OF_45,YES_PHASE1,"Legacy backtest covers 39 keys; six governed keys remain without backtests"
HDD - EDB,Enterprise,Forest,forest_name,152,TRUE,TRUE,TRUE,NO,YES_PHASE1,"NAMPRD07 is present; no current backtest"
HDD - EDB,Consumer,Region,Key,45,TRUE,TRUE,TRUE,NO,YES_PHASE1,"Governed actual and forecast data exist; no current backtest"
HDD - EDB,Consumer,Forest,forest_name,152,TRUE,TRUE,TRUE,NO,YES_PHASE1,"NAMPRD07 is present; no current backtest"
HDD - Basilisk,Basilisk,Region,Key,47,TRUE,TRUE,TRUE,NO,YES_PHASE1,"Only about five months of governed actual history are available"
HDD - Basilisk,Basilisk,Forest,forest_name,155,TRUE,TRUE,TRUE,NO,YES_PHASE1,"NAMPRD07 is present with scenario-specific casing; shorter history must not be padded"
CPU,Consumed,Region,Key,46,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Exposed by product contract but not extracted in Phase 1"
CPU,Consumed,Forest,Forest_SKU,714,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Forecast-only; full key values must remain as stored"
CPU Failover,Failover,Region,Key,46,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Exposed by product contract but not extracted in Phase 1"
CPU Failover,Failover,Forest,Forest_SKU,714,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Forecast-only; full key values must remain as stored"
IOPS,Consumed,Region,Key,46,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Exposed by product contract but not extracted in Phase 1"
IOPS,Consumed,Forest,Forest_SKU,552,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Forecast-only; full key values must remain as stored"
IOPS Failover,Failover,Region,Key,46,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Exposed by product contract but not extracted in Phase 1"
IOPS Failover,Failover,Forest,Forest_SKU,552,FALSE,FALSE,TRUE,NO,NO_PHASE2,"Forecast-only; full key values must remain as stored"
SSD - Phoenix,Low Volume No Efficiency,Forest,Key,148,FALSE,FALSE,TRUE,NO,YES_PHASE1,"No actuals; belongs on Forecast and must not enter Viewer backtests"
SSD - Phoenix,Low Volume With Efficiency,Forest,Key,152,FALSE,FALSE,TRUE,NO,YES_PHASE1,"No actuals; belongs on Forecast and must not enter Viewer backtests"
