metric,scenario,granularity,series_key,date,record_type,value,model_name,forecast_version,has_actuals,forecast_only,value_type,source_table,source_artifact,extraction_run_id
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-04-28,actual,2419.1464580000006,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-04-29,actual,2422.061859,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-04-30,actual,2424.204301,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-01,actual,2425.2329980000004,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-02,actual,2426.91726,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-03,actual,2427.007518,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-04,actual,2427.007518,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-05,actual,2427.007518,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-06,actual,2428.8771770000003,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-07,actual,2422.13321,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-08,actual,2400.190447,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-09,actual,2255.473239,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-10,actual,2235.911894,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-11,actual,2233.157972,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-12,actual,2233.157972,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-13,actual,2234.5702570000003,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-14,actual,2235.965829,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-15,actual,2238.141524,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-16,actual,2240.079121,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-17,actual,2240.643129,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-18,actual,2240.828675,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-19,actual,2242.609074,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-20,actual,2244.5632920000003,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-21,actual,2246.551058,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-22,actual,2248.2515120000003,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-23,actual,2250.541422,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-24,actual,2251.014411,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-25,actual,2251.348703,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-26,actual,2251.348703,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-27,actual,2239.516276,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-28,actual,2201.490081,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-29,actual,2196.6965520000003,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-30,actual,2195.314518,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-05-31,actual,2191.6708089999997,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-01,actual,2187.022625,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-02,actual,2184.020518,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-03,actual,2182.370942,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-04,actual,2166.200666,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-05,actual,2134.843964,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-06,actual,2120.254292,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-07,actual,2114.710938,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-08,actual,2109.059312,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-09,actual,2106.354733,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
HDD - EDB,Enterprise,Region,APC-Dedicated,2025-06-10,actual,2097.740968,,2026-05-01,TRUE,FALSE,Actual,hdd_region_actuals.csv,V6/data/processed/actuals.csv,LEGACY_PROCESSED_FORWARD
