metric,scenario,granularity,series_key,series_label,date,actual_value,model_name,model_origin,model_family,forecast_value,forecast_type,horizon_days,forecast_start_date,run_id,source_artifact,is_baseline,is_challenger,is_deferred,is_selected_champion,risk_status,lower_bound,upper_bound,interval_level,extraction_run_id
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-01-28,69.25846100000001,FixedGrowth_1_5,baseline,growth_baseline,73.6359585795,backtest,1,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-01-29,68.897285,FixedGrowth_1_5,baseline,growth_baseline,73.672758159,backtest,2,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-01-30,68.897285,FixedGrowth_1_5,baseline,growth_baseline,73.7095577385,backtest,3,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-01-31,68.897285,FixedGrowth_1_5,baseline,growth_baseline,73.746357318,backtest,4,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-01,68.85304400000001,FixedGrowth_1_5,baseline,growth_baseline,73.7831568975,backtest,5,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-02,68.43164200000001,FixedGrowth_1_5,baseline,growth_baseline,73.819956477,backtest,6,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-03,65.16950499999999,FixedGrowth_1_5,baseline,growth_baseline,73.8567560565,backtest,7,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-04,61.846383,FixedGrowth_1_5,baseline,growth_baseline,73.893555636,backtest,8,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-05,59.644278,FixedGrowth_1_5,baseline,growth_baseline,73.9303552155,backtest,9,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
HDD - EDB,Enterprise,Region,APC-Dedicated,APC-Dedicated,2026-02-06,59.471683000000006,FixedGrowth_1_5,baseline,growth_baseline,73.967154795,backtest,10,2026-01-27,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,,LEGACY_STAGE05H_VERIFIED_R8FIX0
