"searched_path","file_pattern","matched_file","exists","size_bytes","modified_time","relevance","notes"
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT","evidence\E11\E11_initial_delivery_cohort.csv","",FALSE,0,"","REQUIRED_SOURCE","Recursive filename search returned no match."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT","evidence\E11\E11_initial_delivery_route_summary.csv","",FALSE,0,"","REQUIRED_SOURCE","Recursive filename search returned no match."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT","AEGIS_series_universe.csv","",FALSE,0,"","SUPPORTING_SOURCE","Recursive filename search returned no match."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT.worktrees","E11_initial_delivery_cohort.csv|E11_initial_delivery_route_summary.csv|AEGIS_series_universe.csv","",FALSE,0,"","NEARBY_WORKTREES","No matching file in sibling worktrees."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\tesseract-platform","E11_initial_delivery_cohort.csv|E11_initial_delivery_route_summary.csv|AEGIS_series_universe.csv","",FALSE,0,"","NEARBY_PROJECT","No matching file in the nearby Tesseract project."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement","*E11* and exact required filenames","",FALSE,0,"","PARENT_PROJECT_SEARCH","No E11-named files or evidence\E11 directory found recursively."
"Git history: OskyRosky/AEGIS-FORESCASTING-IMPROVEMENT","E11_initial_delivery_cohort.csv|E11_initial_delivery_route_summary.csv|AEGIS_series_universe.csv","",FALSE,0,"","HISTORY_SEARCH","git log --all --name-only returned no matching historical path."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\Escenario completo ---- Desde metricas hasta Keys ----","initial delivery cohort|E11","AEGIS_Master_Catalog_Discovery_E0_E10.md",TRUE,153995,"2026-08-18T14:43:48.8620372Z","DOCUMENTARY_REFERENCE","Documents 130 cases and 29 route artifacts and names the missing E11 files; does not enumerate the cases."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\Escenario completo ---- Desde metricas hasta Keys ----","initial delivery cohort|E11","AEGIS_Full_Status_Pre_Delivery.md",TRUE,13349,"2026-08-18T14:36:06.8723910Z","DOCUMENTARY_REFERENCE","Documents CPU 48, HDD 32, IOPS 20, SSD 30 and 29 route artifacts; does not enumerate entity keys."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\V6\outputs\v6_17_full_multimetric_productive_artifact_generation","Low Volume With Efficiency|Low Volume No Efficiency","v6_17_forecast_dropdown_metadata.csv",TRUE,54371,"2026-08-14T22:25:31.6396733Z","CURRENT_PREPARED_SCOPE","Shows 148 no-efficiency and 152 with-efficiency SSD-Phoenix Forest keys."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\V6\outputs\v6_18_shiny_dynamic_taxonomy_ui","Low Volume With Efficiency|Low Volume No Efficiency","v6_18_navigation_contract.csv",TRUE,368591,"2026-08-18T19:27:25.8570393Z","CURRENT_APP_SCOPE","Preserves both prepared variants as legacy compatibility routes without an Organic/Inorganic mapping."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\V6\outputs\v6_18_shiny_dynamic_taxonomy_ui","SSD|Phoenix|Organic|Forest","v6_18_taxonomy_valid_not_implemented.csv",TRUE,6550,"2026-08-18T17:57:47.3099339Z","DISCOVERY_TO_APP_GAP","Marks the discovery route valid but not implemented in the prepared V6.17 scope."
"C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\V6\outputs\v6_17_full_multimetric_productive_artifact_generation","runtime","v6_17_runtime_log.csv",TRUE,4752,"2026-08-14T22:37:39.7445087Z","ESTIMATION_BASELINE","Measured current-scope completion at 88.27 minutes."
