"file","field_or_line","old_value","new_value","verified_from","notes"
"v6_20_accuracy_data_source_reconciliation.csv","Accuracy row, notes","the Viewer exposes 596 series keys","the Viewer exposes 596 route x key cases across 391 distinct entities","v6_17_viewer_dropdown_metadata.csv","596 rows and 391 distinct series_key values."
"v6_20_accuracy_data_source_reconciliation.csv","Accuracy series coverage row","39 legacy keys versus 596","39 distinct entities (legacy CSV) versus 391 distinct entities (V6.17 Parquet)","v6_17_viewer_dropdown_metadata.csv and forecast_viewer_model_outputs.csv","Legacy CSV has 39 distinct series_key values."
"v6_20_accuracy_data_source_reconciliation.csv","Accuracy coverage percentage","roughly 6.5 percent of the Viewer universe","roughly 10 percent of the 391 distinct Viewer entities","Derived from 39 divided by 391","The old figure divided 39 by 596, comparing entities against cases."
"v6_20_artifact_registry_risk.csv","forecast_viewer_full notes","204300 rows, 39 keys, 15 models","204300 rows, 39 distinct entities, 15 models","forecast_viewer_model_outputs.csv","Wording only."
"v6_20_closure_summary.md","What V6 improved","Viewer coverage from 39 keys to 596 entities across 6 routes","Viewer coverage from 39 distinct entities to 596 route x key cases across 391 distinct entities, over 6 routes","v6_17_viewer_dropdown_metadata.csv",""
"v6_20_closure_summary.md","What must be recovered before generation","204,300 rows, 39 series keys ... 2,416,050 rows across 596 entities","204,300 rows, 39 distinct entities ... 2,416,050 rows covering 596 route x key cases across 391 distinct entities","v6_17_viewer_dropdown_metadata.csv",""
"v6_20_owner_decisions_needed.csv","V620-D001 issue","204300 rows and 39 keys ... 2416050 rows and 596 keys","204300 rows and 39 distinct entities ... 2416050 rows covering 596 route x key cases across 391 distinct entities","v6_17_viewer_dropdown_metadata.csv","The decision itself is unchanged."
"v6_20_recovery_candidates.csv","REC-002 why_recover","Accuracy answers on 39 keys while the Viewer answers on 596","Accuracy answers on 39 distinct entities while the Viewer answers on 391 distinct entities across 596 route x key cases","v6_17_viewer_dropdown_metadata.csv",""
"v6_20_v5_v6_feature_diff.csv","Viewer selection navigation row","Generic Key/Series dropdown over 39 keys; selection over 596 entities","Generic dropdown over 39 distinct entities; selection over 596 route x key cases across 391 distinct entities","v6_17_viewer_dropdown_metadata.csv",""
"v6_20_v5_v6_feature_diff.csv","Accuracy data source row","39 keys versus 596 keys","39 distinct entities versus 596 route x key cases across 391 distinct entities","v6_17_viewer_dropdown_metadata.csv",""
"v6_20_v5_v6_feature_diff.csv","Accuracy series coverage row","39 keys; roughly 6.5 percent","39 distinct entities; roughly 10 percent of the 391 distinct entities","Derived from 39 divided by 391",""
"v6_20_validation.csv","V620-012","Accuracy versus Viewer key counts: 39 versus 596","Accuracy versus Viewer entity counts: 39 distinct entities versus 391 distinct entities across 596 route x key cases","v6_17_viewer_dropdown_metadata.csv","Check result remains PASS and still blocks the next stage."
"REFERENCE_596","v6_18_current_supported_routes.csv","n/a","sum of viewer_case_count equals 596","v6_18_current_supported_routes.csv","Independent confirmation that 596 counts route x key cases."
"REFERENCE_391","v6_17_viewer_dropdown_metadata.csv","n/a","391 distinct series_key values across 596 rows","v6_17_viewer_dropdown_metadata.csv","Also 391 when filtered to viewer_available rows."
"NOT_CHANGED","Git commit messages","596 keys wording in b19bccd","Left unchanged","n/a","History was not rewritten; the artifacts supersede the wording."
