series_key,model_name,horizon,metric_name,legacy_value,new_value,abs_difference,within_tolerance
APC-Dedicated,ARIMA_Fixed,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,AutoARIMA,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,ETS Explicit,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,ETS_Current,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_1_5,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_3,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_4,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_6,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,FNAR-V2,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,LightGBM,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,LinearRegression,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,NLIN-DLIN_FIXED,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,SMLP-TCN,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,Theta,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,XGBoost,5,n_points,12.0,12.0,0.0,True
APC-MSIT,ARIMA_Fixed,5,n_points,12.0,12.0,0.0,True
APC-MSIT,AutoARIMA,5,n_points,12.0,12.0,0.0,True
APC-MSIT,ETS Explicit,5,n_points,12.0,12.0,0.0,True
APC-MSIT,ETS_Current,5,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_1_5,5,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_3,5,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_4,5,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_6,5,n_points,12.0,12.0,0.0,True
APC-MSIT,FNAR-V2,5,n_points,12.0,12.0,0.0,True
APC-MSIT,LightGBM,5,n_points,12.0,12.0,0.0,True
APC-MSIT,LinearRegression,5,n_points,12.0,12.0,0.0,True
APC-MSIT,NLIN-DLIN_FIXED,5,n_points,12.0,12.0,0.0,True
APC-MSIT,SMLP-TCN,5,n_points,12.0,12.0,0.0,True
APC-MSIT,Theta,5,n_points,12.0,12.0,0.0,True
APC-MSIT,XGBoost,5,n_points,12.0,12.0,0.0,True
