"llm_server_id","page","server_registered","ui_mounted_before","ui_mounted_after","status"
"llm_models_universe","Model Universe","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_tournament","Tournament","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_champion_overview","Champion Overview","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_forecast_viewer","Forecast Viewer","YES","YES (tabs_v6_16_viewer.R line 168)","YES (tabs_v6_16_viewer.R line 168)","OK"
"llm_forecasting_accuracy","Accuracy Overview","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_forecasting_forecast","Forward Forecast","YES","NO - orphaned since the V6.16 rewrite","YES (tabs_v6_16_viewer.R line 303)","RESTORED"
"llm_forecasting_ttl","TTL / Capacity View","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_governance_risks","Governance and Risks","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_governance_audit","Audit Trail","YES","YES (tabs.R)","YES (tabs.R)","OK"
"llm_reference_artifacts","Reference Artifacts","YES","YES (tabs.R)","YES (tabs.R)","OK"
"TOTAL","n/a","10 registered","9 of 10 mounted","10 of 10 mounted","INVARIANT_RESTORED"
