case_id,route_id,base_metric,entity_value,entity_token_upper,data_class,has_observed_values,has_15_governed_estimates,has_forecast_values,observed_rows,backtest_rows,governed_15_models,viewer_models,forecast_rows,forward_actual_rows,accuracy_models,build_viewer,build_accuracy,build_forecast,taxonomy_alignment,governed_exception,expected_shiny_behavior
HDD|Organic|Basilisk|Forest::apcp150,HDD|Organic|Basilisk|Forest,HDD,apcp150,APCP150,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::apcp153,HDD|Organic|Basilisk|Forest,HDD,apcp153,APCP153,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::apcprd01,HDD|Organic|Basilisk|Forest,HDD,apcprd01,APCPRD01,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::apcprd02,HDD|Organic|Basilisk|Forest,HDD,apcprd02,APCPRD02,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::apcprd03,HDD|Organic|Basilisk|Forest,HDD,apcprd03,APCPRD03,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::apcprd04,HDD|Organic|Basilisk|Forest,HDD,apcprd04,APCPRD04,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::apcprd06,HDD|Organic|Basilisk|Forest,HDD,apcprd06,APCPRD06,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::arep273,HDD|Organic|Basilisk|Forest,HDD,arep273,AREP273,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::ausp282,HDD|Organic|Basilisk|Forest,HDD,ausp282,AUSP282,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::ausp300,HDD|Organic|Basilisk|Forest,HDD,ausp300,AUSP300,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::ausprd01,HDD|Organic|Basilisk|Forest,HDD,ausprd01,AUSPRD01,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::autp296,HDD|Organic|Basilisk|Forest,HDD,autp296,AUTP296,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::brap284,HDD|Organic|Basilisk|Forest,HDD,brap284,BRAP284,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::canp288,HDD|Organic|Basilisk|Forest,HDD,canp288,CANP288,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::canprd01,HDD|Organic|Basilisk|Forest,HDD,canprd01,CANPRD01,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::chep278,HDD|Organic|Basilisk|Forest,HDD,chep278,CHEP278,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::chlp298,HDD|Organic|Basilisk|Forest,HDD,chlp298,CHLP298,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::chnpr01,HDD|Organic|Basilisk|Forest,HDD,chnpr01,CHNPR01,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::deup281,HDD|Organic|Basilisk|Forest,HDD,deup281,DEUP281,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::dnkp307,HDD|Organic|Basilisk|Forest,HDD,dnkp307,DNKP307,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::espp292,HDD|Organic|Basilisk|Forest,HDD,espp292,ESPP292,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::eurp107,HDD|Organic|Basilisk|Forest,HDD,eurp107,EURP107,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::eurp119,HDD|Organic|Basilisk|Forest,HDD,eurp119,EURP119,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::eurp120,HDD|Organic|Basilisk|Forest,HDD,eurp120,EURP120,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::eurp121,HDD|Organic|Basilisk|Forest,HDD,eurp121,EURP121,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::eurp122,HDD|Organic|Basilisk|Forest,HDD,eurp122,EURP122,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
HDD|Organic|Basilisk|Forest::eurp137,HDD|Organic|Basilisk|Forest,HDD,eurp137,EURP137,FULL_VIEWER_AND_FORECAST,True,True,True,2250,2250,15,15,732,144,15,True,True,True,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,Viewer renders actuals plus the 15 governed model backtests; Forecast renders actual history plus the forward forecast with the Forecast start boundary.
