case_id,route_id,entity_value,observed_rows,forward_actual_rows,governed_15_models,accuracy_models,forecast_rows,build_viewer,build_accuracy,build_forecast,taxonomy_alignment,fabricated_actuals,falsely_claims_15_models,eligible_for_accuracy
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::APCP150,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,APCP150,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::APCPRD01,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,APCPRD01,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::APCPRD02,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,APCPRD02,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::APCPRD03,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,APCPRD03,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::APCPRD04,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,APCPRD04,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::APCPRD06,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,APCPRD06,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::AREP273,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,AREP273,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::AUSP282,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,AUSP282,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::AUSP300,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,AUSP300,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::AUSPRD01,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,AUSPRD01,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::AUTP296,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,AUTP296,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::BRAP284,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,BRAP284,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::CANP288,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,CANP288,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::CANPRD01,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,CANPRD01,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::CHEP278,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,CHEP278,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::CHLP298,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,CHLP298,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::DEUP281,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,DEUP281,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::DNKP307,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,DNKP307,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::ESPP292,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,ESPP292,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP107,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP107,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP119,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP119,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP120,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP120,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP121,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP121,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP122,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP122,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP137,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP137,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP138,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP138,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP174,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP174,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP175,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP175,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP176,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP176,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP177,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP177,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP178,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP178,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP179,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP179,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP180,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP180,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP189,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP189,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP190,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP190,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP191,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP191,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP192,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP192,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP193,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP193,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP194,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP194,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest::EURP195,SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest,EURP195,0,0,0,0,732,False,False,True,LEGACY_VARIANT,False,False,False
