route_id,base_metric,display_label,demand_nature,db_type,prepared_scenario,segment,granularity,entity_label,entity_value,source_metric,source_scenario,source_granularity,source_series_key,case_id,entity_type,entity_token_upper,axes_applicable,selection_path,selection_display_path,governance_marker,scope_status,build_viewer,build_accuracy,build_forecast,viewer_exclusion_reason,accuracy_exclusion_reason,forecast_exclusion_reason,overall_exclusion_reason,has_actuals,history_depth,first_actual_date,last_actual_date,staleness_days,viewer_model_coverage,accuracy_model_coverage,forecast_model_coverage,extraction_run_id,taxonomy_alignment,governed_exception,inclusion_rule,notes
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcp150,HDD - Basilisk,Basilisk,Forest,apcp150,HDD|Organic|Basilisk|Forest::apcp150,Forest,APCP150,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcp150,HDD → Organic → Basilisk → Forest → apcp150   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcp153,HDD - Basilisk,Basilisk,Forest,apcp153,HDD|Organic|Basilisk|Forest::apcp153,Forest,APCP153,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcp153,HDD → Organic → Basilisk → Forest → apcp153   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcprd01,HDD - Basilisk,Basilisk,Forest,apcprd01,HDD|Organic|Basilisk|Forest::apcprd01,Forest,APCPRD01,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcprd01,HDD → Organic → Basilisk → Forest → apcprd01   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcprd02,HDD - Basilisk,Basilisk,Forest,apcprd02,HDD|Organic|Basilisk|Forest::apcprd02,Forest,APCPRD02,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcprd02,HDD → Organic → Basilisk → Forest → apcprd02   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcprd03,HDD - Basilisk,Basilisk,Forest,apcprd03,HDD|Organic|Basilisk|Forest::apcprd03,Forest,APCPRD03,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcprd03,HDD → Organic → Basilisk → Forest → apcprd03   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcprd04,HDD - Basilisk,Basilisk,Forest,apcprd04,HDD|Organic|Basilisk|Forest::apcprd04,Forest,APCPRD04,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcprd04,HDD → Organic → Basilisk → Forest → apcprd04   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,apcprd06,HDD - Basilisk,Basilisk,Forest,apcprd06,HDD|Organic|Basilisk|Forest::apcprd06,Forest,APCPRD06,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|apcprd06,HDD → Organic → Basilisk → Forest → apcprd06   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,arep273,HDD - Basilisk,Basilisk,Forest,arep273,HDD|Organic|Basilisk|Forest::arep273,Forest,AREP273,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|arep273,HDD → Organic → Basilisk → Forest → arep273   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,ausp282,HDD - Basilisk,Basilisk,Forest,ausp282,HDD|Organic|Basilisk|Forest::ausp282,Forest,AUSP282,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|ausp282,HDD → Organic → Basilisk → Forest → ausp282   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
HDD|Organic|Basilisk|Forest,HDD,HDD - Basilisk,Organic,Basilisk,,,Forest,Forest,ausp300,HDD - Basilisk,Basilisk,Forest,ausp300,HDD|Organic|Basilisk|Forest::ausp300,Forest,AUSP300,Metric|Demand Nature|DB Type|Granularity|Forest,HDD|Organic|Basilisk|Forest|ausp300,HDD → Organic → Basilisk → Forest → ausp300   [OPERATIONAL_SOURCE_PRECEDENCE],OPERATIONAL_SOURCE_PRECEDENCE,BUILDABLE,True,True,True,,,,,True,79,2026-03-08,2026-05-25,55.0,15,15,1,R6P1-20260812T100822,OPERATIONAL_SOURCE_PRECEDENCE,CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE,R3_GOVERNED_EXCEPTION_BASILISK,
