case_id,selection_display_path,metric,db_type,prepared_scenario,segment,granularity,entity_type,entity_value,entity_token_upper,build_viewer,build_accuracy,build_forecast,scope_status,governance_marker
HDD|Organic|Basilisk|Forest::apcp150,HDD → Organic → Basilisk → Forest → apcp150   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcp150,APCP150,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::apcp153,HDD → Organic → Basilisk → Forest → apcp153   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcp153,APCP153,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::apcprd01,HDD → Organic → Basilisk → Forest → apcprd01   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcprd01,APCPRD01,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::apcprd02,HDD → Organic → Basilisk → Forest → apcprd02   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcprd02,APCPRD02,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::apcprd03,HDD → Organic → Basilisk → Forest → apcprd03   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcprd03,APCPRD03,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::apcprd04,HDD → Organic → Basilisk → Forest → apcprd04   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcprd04,APCPRD04,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::apcprd06,HDD → Organic → Basilisk → Forest → apcprd06   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,apcprd06,APCPRD06,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::arep273,HDD → Organic → Basilisk → Forest → arep273   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,arep273,AREP273,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::ausp282,HDD → Organic → Basilisk → Forest → ausp282   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,ausp282,AUSP282,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
HDD|Organic|Basilisk|Forest::ausp300,HDD → Organic → Basilisk → Forest → ausp300   [OPERATIONAL_SOURCE_PRECEDENCE],HDD,Basilisk,,,Forest,Forest,ausp300,AUSP300,True,True,True,BUILDABLE,OPERATIONAL_SOURCE_PRECEDENCE
