case_id,matched_v6_18_contract,mismatch_reason
HDD|Organic|Basilisk|Forest::apcp150,True,
HDD|Organic|Basilisk|Forest::apcp153,True,
HDD|Organic|Basilisk|Forest::apcprd01,True,
HDD|Organic|Basilisk|Forest::apcprd02,True,
HDD|Organic|Basilisk|Forest::apcprd03,True,
HDD|Organic|Basilisk|Forest::apcprd04,True,
HDD|Organic|Basilisk|Forest::apcprd06,True,
HDD|Organic|Basilisk|Forest::arep273,True,
HDD|Organic|Basilisk|Forest::ausp282,True,
HDD|Organic|Basilisk|Forest::ausp300,True,
HDD|Organic|Basilisk|Forest::ausprd01,True,
HDD|Organic|Basilisk|Forest::autp296,True,
HDD|Organic|Basilisk|Forest::brap284,True,
HDD|Organic|Basilisk|Forest::canp288,True,
HDD|Organic|Basilisk|Forest::canprd01,True,
HDD|Organic|Basilisk|Forest::chep278,True,
HDD|Organic|Basilisk|Forest::chlp298,True,
HDD|Organic|Basilisk|Forest::chnpr01,True,
HDD|Organic|Basilisk|Forest::deup281,True,
HDD|Organic|Basilisk|Forest::dnkp307,True,
HDD|Organic|Basilisk|Forest::espp292,True,
HDD|Organic|Basilisk|Forest::eurp107,True,
HDD|Organic|Basilisk|Forest::eurp119,True,
HDD|Organic|Basilisk|Forest::eurp120,True,
HDD|Organic|Basilisk|Forest::eurp121,True,
HDD|Organic|Basilisk|Forest::eurp122,True,
HDD|Organic|Basilisk|Forest::eurp137,True,
HDD|Organic|Basilisk|Forest::eurp138,True,
HDD|Organic|Basilisk|Forest::eurp174,True,
HDD|Organic|Basilisk|Forest::eurp175,True,
HDD|Organic|Basilisk|Forest::eurp176,True,
HDD|Organic|Basilisk|Forest::eurp177,True,
HDD|Organic|Basilisk|Forest::eurp178,True,
HDD|Organic|Basilisk|Forest::eurp179,True,
HDD|Organic|Basilisk|Forest::eurp180,True,
HDD|Organic|Basilisk|Forest::eurp189,True,
HDD|Organic|Basilisk|Forest::eurp190,True,
HDD|Organic|Basilisk|Forest::eurp191,True,
HDD|Organic|Basilisk|Forest::eurp192,True,
HDD|Organic|Basilisk|Forest::eurp193,True,
HDD|Organic|Basilisk|Forest::eurp194,True,
HDD|Organic|Basilisk|Forest::eurp195,True,
HDD|Organic|Basilisk|Forest::eurp250,True,
HDD|Organic|Basilisk|Forest::eurp251,True,
HDD|Organic|Basilisk|Forest::eurp309,True,
HDD|Organic|Basilisk|Forest::eurprd01,True,
HDD|Organic|Basilisk|Forest::eurprd02,True,
HDD|Organic|Basilisk|Forest::eurprd03,True,
HDD|Organic|Basilisk|Forest::eurprd04,True,
HDD|Organic|Basilisk|Forest::eurprd05,True,
HDD|Organic|Basilisk|Forest::eurprd06,True,
HDD|Organic|Basilisk|Forest::eurprd07,True,
HDD|Organic|Basilisk|Forest::eurprd08,True,
HDD|Organic|Basilisk|Forest::eurprd09,True,
HDD|Organic|Basilisk|Forest::eurprd10,True,
HDD|Organic|Basilisk|Forest::eurprd83,True,
HDD|Organic|Basilisk|Forest::frap264,True,
HDD|Organic|Basilisk|Forest::gbrp123,True,
HDD|Organic|Basilisk|Forest::gbrp265,True,
HDD|Organic|Basilisk|Forest::gbrp267,True,
HDD|Organic|Basilisk|Forest::gbrp302,True,
HDD|Organic|Basilisk|Forest::idnp305,True,
HDD|Organic|Basilisk|Forest::indp287,True,
HDD|Organic|Basilisk|Forest::indprd01,True,
HDD|Organic|Basilisk|Forest::isrp290,True,
HDD|Organic|Basilisk|Forest::itap293,True,
HDD|Organic|Basilisk|Forest::jpnp286,True,
HDD|Organic|Basilisk|Forest::jpnp301,True,
HDD|Organic|Basilisk|Forest::jpnprd01,True,
HDD|Organic|Basilisk|Forest::korp216,True,
HDD|Organic|Basilisk|Forest::lamp152,True,
HDD|Organic|Basilisk|Forest::lamp215,True,
HDD|Organic|Basilisk|Forest::lamprd80,True,
HDD|Organic|Basilisk|Forest::mexp297,True,
HDD|Organic|Basilisk|Forest::mysp306,True,
HDD|Organic|Basilisk|Forest::namp100,True,
HDD|Organic|Basilisk|Forest::namp101,True,
HDD|Organic|Basilisk|Forest::namp102,True,
HDD|Organic|Basilisk|Forest::namp103,True,
HDD|Organic|Basilisk|Forest::namp104,True,
HDD|Organic|Basilisk|Forest::namp105,True,
HDD|Organic|Basilisk|Forest::namp106,True,
HDD|Organic|Basilisk|Forest::namp108,True,
HDD|Organic|Basilisk|Forest::namp109,True,
HDD|Organic|Basilisk|Forest::namp110,True,
HDD|Organic|Basilisk|Forest::namp111,True,
HDD|Organic|Basilisk|Forest::namp113,True,
HDD|Organic|Basilisk|Forest::namp114,True,
HDD|Organic|Basilisk|Forest::namp115,True,
HDD|Organic|Basilisk|Forest::namp116,True,
HDD|Organic|Basilisk|Forest::namp118,True,
HDD|Organic|Basilisk|Forest::namp125,True,
HDD|Organic|Basilisk|Forest::namp126,True,
HDD|Organic|Basilisk|Forest::namp128,True,
HDD|Organic|Basilisk|Forest::namp129,True,
HDD|Organic|Basilisk|Forest::namp130,True,
HDD|Organic|Basilisk|Forest::namp131,True,
HDD|Organic|Basilisk|Forest::namp132,True,
HDD|Organic|Basilisk|Forest::namp133,True,
HDD|Organic|Basilisk|Forest::namp134,True,
HDD|Organic|Basilisk|Forest::namp135,True,
HDD|Organic|Basilisk|Forest::namp136,True,
HDD|Organic|Basilisk|Forest::namp154,True,
HDD|Organic|Basilisk|Forest::namp157,True,
HDD|Organic|Basilisk|Forest::namp158,True,
HDD|Organic|Basilisk|Forest::namp159,True,
HDD|Organic|Basilisk|Forest::namp161,True,
HDD|Organic|Basilisk|Forest::namp162,True,
HDD|Organic|Basilisk|Forest::namp163,True,
HDD|Organic|Basilisk|Forest::namp164,True,
HDD|Organic|Basilisk|Forest::namp166,True,
HDD|Organic|Basilisk|Forest::namp167,True,
HDD|Organic|Basilisk|Forest::namp169,True,
HDD|Organic|Basilisk|Forest::namp170,True,
HDD|Organic|Basilisk|Forest::namp171,True,
HDD|Organic|Basilisk|Forest::namp172,True,
HDD|Organic|Basilisk|Forest::namp173,True,
HDD|Organic|Basilisk|Forest::namp197,True,
HDD|Organic|Basilisk|Forest::namp220,True,
HDD|Organic|Basilisk|Forest::namp221,True,
HDD|Organic|Basilisk|Forest::namp222,True,
HDD|Organic|Basilisk|Forest::namp223,True,
