case_id,route_id,route_group,base_metric,entity_value,case_class,viewer_complete,forecast_complete,has_observed_actuals,observed_row_count,has_backtest_estimates,backtest_row_count,backtest_model_count,has_all_15_governed_models,backtest_model_names,has_forecast_values,forecast_row_count,forward_actual_row_count,missing_data_reason
HDD|Organic|Basilisk|Forest::apcp150,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcp150,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::apcp153,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcp153,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::apcprd01,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcprd01,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::apcprd02,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcprd02,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::apcprd03,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcprd03,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::apcprd04,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcprd04,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::apcprd06,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,apcprd06,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::arep273,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,arep273,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::ausp282,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,ausp282,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::ausp300,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,ausp300,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::ausprd01,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,ausprd01,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::autp296,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,autp296,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::brap284,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,brap284,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
HDD|Organic|Basilisk|Forest::canp288,HDD|Organic|Basilisk|Forest,HDD Basilisk,HDD,canp288,VIEWER_COMPLETE,True,True,True,2250,True,2250,15,True,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,732,144,
