metric,object_name,column_name,inferred_role,data_type,nullable,confidence,notes
HDD,forecast_substrateBE_hdd_region,DateTime,date,date,UNKNOWN,HIGH,Observation date. Confirmed by MIN/MAX aggregates.
HDD,forecast_substrateBE_hdd_region,Key,key,varchar,UNKNOWN,HIGH,Series identity. Region code at Region granularity.
HDD,forecast_substrateBE_hdd_region,Value,value,float,UNKNOWN,HIGH,Numeric measure.
HDD,forecast_substrateBE_hdd_region,ModelVersion,actual_forecast_marker,varchar,UNKNOWN,HIGH,Decisive column: 'actual'/'Actual' marks observed history.
HDD,forecast_substrateBE_hdd_region,ForecastVersion,forecast_version,date,UNKNOWN,HIGH,Vintage of the forecast run.
HDD,forecast_substrateBE_hdd_region,Fleet,route_axis,varchar,UNKNOWN,HIGH,Constant 'SubstrateBE' in all samples.
HDD,forecast_substrateBE_hdd_region,Workload,route_axis,varchar,UNKNOWN,HIGH,Constant 'Backend' in all samples.
HDD,forecast_substrateBE_hdd_region,Resource,route_axis,varchar,UNKNOWN,HIGH,"Metric label, e.g. 'HDD - EDB Enterprise', 'CPU', 'IOPS'."
HDD,forecast_substrateBE_hdd_region,Unit,unit,varchar,UNKNOWN,HIGH,TB / GCYCLES / IOPS.
HDD,forecast_substrateBE_hdd_region,Type,route_axis,varchar,UNKNOWN,MEDIUM,Organic / Organic_adjust / Organic (Without SubstrateBlobShard).
HDD,forecast_substrateBE_hdd_region,Scenario,route_axis,varchar,UNKNOWN,HIGH,Route axis: HDD Enterprise/Consumer/Basilisk; CPU+IOPS Consumed/Failover.
HDD,forecast_substrateBE_hdd_region,ValueType,unclassified,varchar,UNKNOWN,LOW,Role not established in P1.
CPU,forecast_substrateBE_cpu_actual_region,DateTime,date,date,UNKNOWN,HIGH,Observation date. Confirmed by MIN/MAX aggregates.
CPU,forecast_substrateBE_cpu_actual_region,Key,key,varchar,UNKNOWN,HIGH,Series identity. Region code at Region granularity.
CPU,forecast_substrateBE_cpu_actual_region,Value,value,float,UNKNOWN,HIGH,Numeric measure.
CPU,forecast_substrateBE_cpu_actual_region,ValueRef,value_reference,float,UNKNOWN,MEDIUM,"Secondary value, semantics not established in P1."
CPU,forecast_substrateBE_cpu_actual_region,ModelVersion,actual_forecast_marker,varchar,UNKNOWN,HIGH,Decisive column: 'actual'/'Actual' marks observed history.
CPU,forecast_substrateBE_cpu_actual_region,ForecastVersion,forecast_version,date,UNKNOWN,HIGH,Vintage of the forecast run.
CPU,forecast_substrateBE_cpu_actual_region,Fleet,route_axis,varchar,UNKNOWN,HIGH,Constant 'SubstrateBE' in all samples.
CPU,forecast_substrateBE_cpu_actual_region,Workload,route_axis,varchar,UNKNOWN,HIGH,Constant 'Backend' in all samples.
CPU,forecast_substrateBE_cpu_actual_region,Resource,route_axis,varchar,UNKNOWN,HIGH,"Metric label, e.g. 'HDD - EDB Enterprise', 'CPU', 'IOPS'."
CPU,forecast_substrateBE_cpu_actual_region,Unit,unit,varchar,UNKNOWN,HIGH,TB / GCYCLES / IOPS.
CPU,forecast_substrateBE_cpu_actual_region,Type,route_axis,varchar,UNKNOWN,MEDIUM,Organic / Organic_adjust / Organic (Without SubstrateBlobShard).
CPU,forecast_substrateBE_cpu_actual_region,Scenario,route_axis,varchar,UNKNOWN,HIGH,Route axis: HDD Enterprise/Consumer/Basilisk; CPU+IOPS Consumed/Failover.
CPU,forecast_substrateBE_cpu_actual_region,ValueType,unclassified,varchar,UNKNOWN,LOW,Role not established in P1.
CPU,forecast_substrateBE_cpu_region,Fleet,route_axis,varchar,UNKNOWN,HIGH,Constant 'SubstrateBE' in all samples.
CPU,forecast_substrateBE_cpu_region,Workload,route_axis,varchar,UNKNOWN,HIGH,Constant 'Backend' in all samples.
CPU,forecast_substrateBE_cpu_region,Resource,route_axis,varchar,UNKNOWN,HIGH,"Metric label, e.g. 'HDD - EDB Enterprise', 'CPU', 'IOPS'."
CPU,forecast_substrateBE_cpu_region,Unit,unit,varchar,UNKNOWN,HIGH,TB / GCYCLES / IOPS.
CPU,forecast_substrateBE_cpu_region,Type,route_axis,varchar,UNKNOWN,MEDIUM,Organic / Organic_adjust / Organic (Without SubstrateBlobShard).
CPU,forecast_substrateBE_cpu_region,Scenario,route_axis,varchar,UNKNOWN,HIGH,Route axis: HDD Enterprise/Consumer/Basilisk; CPU+IOPS Consumed/Failover.
CPU,forecast_substrateBE_cpu_region,Datetime,date,date,UNKNOWN,HIGH,Observation date (lower-case variant).
CPU,forecast_substrateBE_cpu_region,Key,key,varchar,UNKNOWN,HIGH,Series identity. Region code at Region granularity.
CPU,forecast_substrateBE_cpu_region,Value,value,float,UNKNOWN,HIGH,Numeric measure.
CPU,forecast_substrateBE_cpu_region,ValueType,unclassified,varchar,UNKNOWN,LOW,Role not established in P1.
CPU,forecast_substrateBE_cpu_region,ModelVersion,actual_forecast_marker,varchar,UNKNOWN,HIGH,Decisive column: 'actual'/'Actual' marks observed history.
CPU,forecast_substrateBE_cpu_region,ForecastVersion,forecast_version,date,UNKNOWN,HIGH,Vintage of the forecast run.
IOPS,forecast_substrateBE_iops_actual_region,DateTime,date,date,UNKNOWN,HIGH,Observation date. Confirmed by MIN/MAX aggregates.
IOPS,forecast_substrateBE_iops_actual_region,Key,key,varchar,UNKNOWN,HIGH,Series identity. Region code at Region granularity.
IOPS,forecast_substrateBE_iops_actual_region,Value,value,float,UNKNOWN,HIGH,Numeric measure.
IOPS,forecast_substrateBE_iops_actual_region,ValueRef,value_reference,float,UNKNOWN,MEDIUM,"Secondary value, semantics not established in P1."
IOPS,forecast_substrateBE_iops_actual_region,ModelVersion,actual_forecast_marker,varchar,UNKNOWN,HIGH,Decisive column: 'actual'/'Actual' marks observed history.
