cohort_id,extraction_id,selected_for_mvp,selected_for_p3_extraction,extraction_status,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,source_object_or_artifact,date_column,value_column,actual_column,forecast_column,additional_columns_to_extract,min_date,max_date,observation_count,passes_50_actuals,freshness_status,caveat,selection_reason
MVP001,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,apcp150,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP002,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,chnpr01,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP003,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,eurp180,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP004,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,eurprd07,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP005,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,jpnprd01,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP006,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp113,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP007,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp157,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP008,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp222,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP009,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namprd15,HDD|Organic|Basilisk|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP010,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,GBR-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-10,2026-05-23,75,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP011,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,ITA-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP012,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,are-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP013,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,chl-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP014,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,fra-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP015,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,kor-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP016,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,nam-ITAR GCCH,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP017,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,nzl-Go Local,HDD|Organic|Basilisk|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2026-03-08,2026-05-25,79,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|Basilisk|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP018,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,CANPRD01,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP019,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURP179,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP020,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURP309,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-12-21,2026-07-19,211,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP021,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,EURPRD07,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP022,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,JPNPRD01,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP023,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP115,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP024,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP159,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP025,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMP283,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP026,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Forest,NAMPRD16,HDD|Organic|EDB|Consumer|Forest,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-19,277,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Forest: allocated 9 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP027,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,APC-MSIT,HDD|Organic|EDB|Consumer|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-18,276,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
MVP028,NOT_APPLICABLE,TRUE,FALSE,ALREADY_LOCAL,HDD,EDB,NOT_APPLICABLE,NOT_APPLICABLE,Consumer,Organic,Region,CAN-Go Local,HDD|Organic|EDB|Consumer|Region,LOCAL:forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,date,value,actual,15 governed model columns,actuals + 15 governed backtests + forecast already present locally,2025-10-16,2026-07-18,276,TRUE,CURRENT (last actual 2026-08-17 fleet-wide),NOT_APPLICABLE,"Route HDD|Organic|EDB|Consumer|Region: allocated 8 of 50; evenly spread across the route's observation-count range, tie-broken by key"
