extraction_id,cohort_id,selected_for_p3_extraction,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,source_object,source_schema,source_date_column,source_actual_column,source_forecast_column,raw_parquet_file,raw_parquet_relative_path,min_date,max_date,row_count,distinct_date_count,parseable_actual_count,non_parseable_actual_count,freshness_status,caveat,extraction_status,validation_status
EXT001,MVP051,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCP150,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT002,MVP052,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD01,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT003,MVP053,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD02,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT004,MVP054,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AREP273,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT005,MVP055,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSP282,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT006,MVP056,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSP300,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT007,MVP057,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSPRD01,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT008,MVP058,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUTP296,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT009,MVP059,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,BRAP284,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
EXT010,MVP060,TRUE,SSD,Phoenix,LVWE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CANP288,SSD|Phoenix|LowVolume|LVWE|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics,dbo,End_Date,Mean_Actual,Mean_Forecast,ssd_lvwe_raw.parquet,data/raw/v6_24_mvp_cohort/ssd/ssd_lvwe_raw.parquet,2026-04-13,2026-08-22,131,130,131,0,CURRENT (to 2026-08-22),AGGREGATED_WINDOW_ACTUALS (window 1-7 days); Mean_Actual is varchar in source and was CAST via TRY_CAST; source contains 1 exact-duplicate row per key on 2026-04-22; 15 governed model backtests DO NOT exist yet and must be generated in P5,EXTRACTED,VALIDATED
