key,observed_series_id,lvwe_rows,lvne_rows,lvwe_distinct_dates,lvne_distinct_dates,actual_series_count,forecast_variant_count,duplicate_date_count,actual_identical_across_variants,notes
APCP150,OBS-SSD-APCP150,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
APCPRD01,OBS-SSD-APCPRD01,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
APCPRD02,OBS-SSD-APCPRD02,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
AREP273,OBS-SSD-AREP273,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
AUSP282,OBS-SSD-AUSP282,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
AUSP300,OBS-SSD-AUSP300,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
AUSPRD01,OBS-SSD-AUSPRD01,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
AUTP296,OBS-SSD-AUTP296,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
BRAP284,OBS-SSD-BRAP284,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
CANP288,OBS-SSD-CANP288,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
CANPRD01,OBS-SSD-CANPRD01,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
CHEP278,OBS-SSD-CHEP278,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
CHLP298,OBS-SSD-CHLP298,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
DEUP281,OBS-SSD-DEUP281,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
DNKP307,OBS-SSD-DNKP307,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
ESPP292,OBS-SSD-ESPP292,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
EURP107,OBS-SSD-EURP107,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
EURP119,OBS-SSD-EURP119,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
EURP120,OBS-SSD-EURP120,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
FRAP264,OBS-SSD-FRAP264,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
GBRP123,OBS-SSD-GBRP123,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
GBRP265,OBS-SSD-GBRP265,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
GBRP267,OBS-SSD-GBRP267,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
IDNP305,OBS-SSD-IDNP305,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
INDP287,OBS-SSD-INDP287,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
INDPRD01,OBS-SSD-INDPRD01,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
ISRP290,OBS-SSD-ISRP290,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
ITAP293,OBS-SSD-ITAP293,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
JPNP286,OBS-SSD-JPNP286,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
JPNP301,OBS-SSD-JPNP301,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
JPNPRD01,OBS-SSD-JPNPRD01,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
KORP216,OBS-SSD-KORP216,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
LAMP152,OBS-SSD-LAMP152,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
LAMP215,OBS-SSD-LAMP215,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
LAMPRD80,OBS-SSD-LAMPRD80,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
MEXP297,OBS-SSD-MEXP297,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
MYSP306,OBS-SSD-MYSP306,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NAMP100,OBS-SSD-NAMP100,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NAMP101,OBS-SSD-NAMP101,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NAMP104,OBS-SSD-NAMP104,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NAMPRD07,OBS-SSD-NAMPRD07,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NAMPRD08,OBS-SSD-NAMPRD08,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NORP279,OBS-SSD-NORP279,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
NZLP299,OBS-SSD-NZLP299,131,132,130,131,1,2,1,TRUE,"One observed series, two forecast variants. 1 duplicate date row(s) on 2026-04-22 remain in the raw file; P4 must dedupe. Counts 1 toward the 90-series cohort, not 2."
