metric,series_key,series_date,rows_in_raw,rows_kept,rows_removed,distinct_actual_values,distinct_forecast_values,distinct_window_start,actual_value,removal_basis,notes
SSD,APCP150,2026-04-22,2,1,1,1,1,1,0.52,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,APCPRD01,2026-04-22,2,1,1,1,1,1,2725.4,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,APCPRD02,2026-04-22,2,1,1,1,1,1,3721.78,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,AREP273,2026-04-22,2,1,1,1,1,1,1221.7,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,AUSP282,2026-04-22,2,1,1,1,1,1,4145.49,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,AUSP300,2026-04-22,2,1,1,1,1,1,1924.1,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,AUSPRD01,2026-04-22,2,1,1,1,1,1,5347.85,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,AUTP296,2026-04-22,2,1,1,1,1,1,16.13,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,BRAP284,2026-04-22,2,1,1,1,1,1,1927.3,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,CANP288,2026-04-22,2,1,1,1,1,1,2002.45,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,CANPRD01,2026-04-22,2,1,1,1,1,1,5433.19,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,CHEP278,2026-04-22,2,1,1,1,1,1,2461.41,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,CHLP298,2026-04-22,2,1,1,1,1,1,4.56,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,DEUP281,2026-04-22,2,1,1,1,1,1,5417.01,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,DNKP307,2026-04-22,2,1,1,1,1,1,0.18,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,ESPP292,2026-04-22,2,1,1,1,1,1,75.76,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,EURP107,2026-04-22,2,1,1,1,1,1,112.91,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,EURP119,2026-04-22,2,1,1,1,1,1,4.28,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,EURP120,2026-04-22,2,1,1,1,1,1,349.34,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,FRAP264,2026-04-22,2,1,1,1,1,1,4813.47,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,GBRP123,2026-04-22,2,1,1,1,1,1,4460.08,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,GBRP265,2026-04-22,2,1,1,1,1,1,5882.96,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,GBRP267,2026-04-22,2,1,1,1,1,1,6.9,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,IDNP305,2026-04-22,2,1,1,1,1,1,0.65,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,INDP287,2026-04-22,2,1,1,1,1,1,3090.23,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,INDPRD01,2026-04-22,2,1,1,1,1,1,3733.74,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,ISRP290,2026-04-22,2,1,1,1,1,1,73.23,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,ITAP293,2026-04-22,2,1,1,1,1,1,344.3,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,JPNP286,2026-04-22,2,1,1,1,1,1,9060.41,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,JPNP301,2026-04-22,2,1,1,1,1,1,3375.38,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,JPNPRD01,2026-04-22,2,1,1,1,1,1,13925.59,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,KORP216,2026-04-22,2,1,1,1,1,1,1067.58,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,LAMP152,2026-04-22,2,1,1,1,1,1,2731.27,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,LAMP215,2026-04-22,2,1,1,1,1,1,823.59,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,LAMPRD80,2026-04-22,2,1,1,1,1,1,1701.61,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,MEXP297,2026-04-22,2,1,1,1,1,1,16.62,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,MYSP306,2026-04-22,2,1,1,1,1,1,12.24,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NAMP100,2026-04-22,2,1,1,1,1,1,340.2,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NAMP101,2026-04-22,2,1,1,1,1,1,2.76,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NAMP104,2026-04-22,2,1,1,1,1,1,209.11,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NAMPRD07,2026-04-22,2,1,1,1,1,1,8626.74,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NAMPRD08,2026-04-22,2,1,1,1,1,1,9177.15,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NORP279,2026-04-22,2,1,1,1,1,1,1029.48,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,NZLP299,2026-04-22,2,1,1,1,1,1,42.64,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,POLP291,2026-04-22,2,1,1,1,1,1,260.0,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,QATP289,2026-04-22,2,1,1,1,1,1,264.65,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,SGPP274,2026-04-22,2,1,1,1,1,1,195.66,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,SWEP280,2026-04-22,2,1,1,1,1,1,1125.97,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,TWNP295,2026-04-22,2,1,1,1,1,1,39.42,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
SSD,ZAFP275,2026-04-22,2,1,1,1,1,1,1662.13,EXACT_DUPLICATE,All value-bearing columns identical. Keep-first is lossless.
HDD,ALL_50_SERIES,ALL_DATES,204300,10687,193613,1,NOT_APPLICABLE,NOT_APPLICABLE,VARIES,MODEL_AND_RUN_REPETITION_OF_SAME_OBSERVATION,"The local artifact stores one row per model per run, so each series-date observation repeats 15 or more times. Collapsing them is not data loss."
