artifact,column_name,data_type,nullable,row_count,distinct_values,notes
cohort_manifest.parquet,cohort_id,large_string,True,140,140,Written by P4. Schema normalization only.
cohort_manifest.parquet,series_id,large_string,True,140,140,Written by P4. Schema normalization only.
cohort_manifest.parquet,metric,large_string,True,140,4,Written by P4. Schema normalization only.
cohort_manifest.parquet,db_type,large_string,True,140,5,Written by P4. Schema normalization only.
cohort_manifest.parquet,variant_contract,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,scenario,large_string,True,140,3,Written by P4. Schema normalization only.
cohort_manifest.parquet,segment,large_string,True,140,3,Written by P4. Schema normalization only.
cohort_manifest.parquet,demand_nature,large_string,True,140,1,Written by P4. Schema normalization only.
cohort_manifest.parquet,granularity,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,key,large_string,True,140,102,Written by P4. Schema normalization only.
cohort_manifest.parquet,route_path,large_string,True,140,11,Written by P4. Schema normalization only.
cohort_manifest.parquet,ui_filter_path,large_string,True,140,140,Written by P4. Schema normalization only.
cohort_manifest.parquet,source_status,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,source_object_or_artifact,large_string,True,140,4,Written by P4. Schema normalization only.
cohort_manifest.parquet,raw_or_local_source_path,large_string,True,140,4,Written by P4. Schema normalization only.
cohort_manifest.parquet,date_column_source,large_string,True,140,3,Written by P4. Schema normalization only.
cohort_manifest.parquet,actual_column_source,large_string,True,140,3,Written by P4. Schema normalization only.
cohort_manifest.parquet,value_transformation,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,min_date,large_string,True,140,10,Written by P4. Schema normalization only.
cohort_manifest.parquet,max_date,large_string,True,140,8,Written by P4. Schema normalization only.
cohort_manifest.parquet,observation_count,int64,True,140,17,Written by P4. Schema normalization only.
cohort_manifest.parquet,distinct_date_count,int64,True,140,17,Written by P4. Schema normalization only.
cohort_manifest.parquet,duplicate_rows_removed,int64,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,freshness_status,large_string,True,140,3,Written by P4. Schema normalization only.
cohort_manifest.parquet,caveat,large_string,True,140,3,Written by P4. Schema normalization only.
cohort_manifest.parquet,selected_for_mvp,large_string,True,140,1,Written by P4. Schema normalization only.
cohort_manifest.parquet,selected_for_modeling,large_string,True,140,1,Written by P4. Schema normalization only.
cohort_manifest.parquet,has_actuals,large_string,True,140,1,Written by P4. Schema normalization only.
cohort_manifest.parquet,has_15_model_backtests,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,has_forecast_outputs,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,has_accuracy_metrics,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,viewer_visible_now,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,viewer_visible_after_p7,large_string,True,140,1,Written by P4. Schema normalization only.
cohort_manifest.parquet,p5_required,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,p6_required,large_string,True,140,2,Written by P4. Schema normalization only.
cohort_manifest.parquet,p7_required,large_string,True,140,1,Written by P4. Schema normalization only.
cohort_manifest.parquet,notes,large_string,True,140,4,Written by P4. Schema normalization only.
