batch_id,phase,metric,series_count,model_count,model_series_runs,prediction_rows,failures,runtime_seconds,checkpoint_path
SSD_A_01,A,SSD,10,12,120,36000,0,28.78,data/model_runs/v6_24_p5_work/checkpoints/SSD_A_01.parquet
SSD_A_02,A,SSD,10,12,120,36000,0,23.51,data/model_runs/v6_24_p5_work/checkpoints/SSD_A_02.parquet
SSD_A_03,A,SSD,10,12,120,36000,0,26.96,data/model_runs/v6_24_p5_work/checkpoints/SSD_A_03.parquet
SSD_A_04,A,SSD,10,12,120,36000,0,29.32,data/model_runs/v6_24_p5_work/checkpoints/SSD_A_04.parquet
SSD_A_05,A,SSD,10,12,120,36000,0,28.03,data/model_runs/v6_24_p5_work/checkpoints/SSD_A_05.parquet
CPU_A_01,A,CPU,10,12,120,35964,0,36.41,data/model_runs/v6_24_p5_work/checkpoints/CPU_A_01.parquet
CPU_A_02,A,CPU,10,12,120,35964,0,33.48,data/model_runs/v6_24_p5_work/checkpoints/CPU_A_02.parquet
IOPS_A_01,A,IOPS,10,12,120,37992,0,29.56,data/model_runs/v6_24_p5_work/checkpoints/IOPS_A_01.parquet
IOPS_A_02,A,IOPS,10,12,120,37992,0,35.02,data/model_runs/v6_24_p5_work/checkpoints/IOPS_A_02.parquet
SSD_B_01,B,SSD,5,3,15,4500,0,2.62,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_01.parquet
SSD_B_02,B,SSD,5,3,15,4500,0,2.54,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_02.parquet
SSD_B_03,B,SSD,5,3,15,4500,0,2.61,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_03.parquet
SSD_B_04,B,SSD,5,3,15,4500,0,2.86,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_04.parquet
SSD_B_05,B,SSD,5,3,15,4500,0,2.6,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_05.parquet
SSD_B_06,B,SSD,5,3,15,4500,0,2.49,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_06.parquet
SSD_B_07,B,SSD,5,3,15,4500,0,2.88,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_07.parquet
SSD_B_08,B,SSD,5,3,15,4500,0,2.43,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_08.parquet
SSD_B_09,B,SSD,5,3,15,4500,0,2.79,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_09.parquet
SSD_B_10,B,SSD,5,3,15,4500,0,2.76,data/model_runs/v6_24_p5_work/checkpoints/SSD_B_10.parquet
CPU_B_01,B,CPU,5,3,15,4500,0,5.1,data/model_runs/v6_24_p5_work/checkpoints/CPU_B_01.parquet
CPU_B_02,B,CPU,5,3,15,4491,0,5.2,data/model_runs/v6_24_p5_work/checkpoints/CPU_B_02.parquet
CPU_B_03,B,CPU,5,3,15,4500,0,5.3,data/model_runs/v6_24_p5_work/checkpoints/CPU_B_03.parquet
CPU_B_04,B,CPU,5,3,15,4491,0,4.81,data/model_runs/v6_24_p5_work/checkpoints/CPU_B_04.parquet
IOPS_B_01,B,IOPS,5,3,15,4755,0,7.51,data/model_runs/v6_24_p5_work/checkpoints/IOPS_B_01.parquet
IOPS_B_02,B,IOPS,5,3,15,4743,0,7.24,data/model_runs/v6_24_p5_work/checkpoints/IOPS_B_02.parquet
IOPS_B_03,B,IOPS,5,3,15,4755,0,6.93,data/model_runs/v6_24_p5_work/checkpoints/IOPS_B_03.parquet
IOPS_B_04,B,IOPS,5,3,15,4743,0,6.58,data/model_runs/v6_24_p5_work/checkpoints/IOPS_B_04.parquet
