metric,series_id,min_actual_date,max_actual_date,observation_count,calendar_span_days,missing_calendar_days,proposed_burn_in_count,burn_in_side,policy,min_observed_targets_required,sampled_origin_count,forced_latest_origin,forced_latest_origin_valid,first_origin_date,valid_origin_count,first_backtest_target_date,last_backtest_target_date,target_date_count,newest_observation_preserved,prev_strict_valid_origins,prev_strict_target_dates,prev_strict_last_target,origins_recovered,target_dates_recovered,in_p5_workload,rule,notes
CPU,CPU__Consumed__Region__APC-Multitenant,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__ARE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__AUS-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__BRA-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__CAN-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__CHE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__CHN-Gallatin,2022-01-04,2023-07-20,556,563,7,61,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,297,TRUE,8,240,2023-06-03,2,57,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 61 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__DEU-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__EUR-MSIT,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Consumed__Region__FRA-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Failover__Region__APC-Multitenant,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Failover__Region__ARE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Failover__Region__AUS-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Failover__Region__BRA-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Failover__Region__CAN-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
CPU,CPU__Failover__Region__CHE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,D2_OPTION_B_SPARSE_OBSERVED,20,11,2023-06-20,TRUE,2022-03-09,10,2022-04-26,2023-07-20,300,TRUE,10,300,2023-07-20,0,0,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,"10 valid origins under the approved sparse rule (>= 20 observed targets in the 30-day horizon). Burn-in consumes the 63 OLDEST observations only. Forced latest origin at max_date-30 is valid, so the last target equals the series max date. No dates were filled, resampled or interpolated."
