batch_id,phase,metric,series_count,model_count,expected_model_series_runs,expected_prediction_rows,checkpoint_path,resume_key,risk_level,notes
B001,A_non_neural,SSD,10,12,120,36000,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_SSD_01.csv,A_non_neural|SSD|01,LOW,Series 1-10 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B002,A_non_neural,SSD,10,12,120,36000,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_SSD_02.csv,A_non_neural|SSD|02,LOW,Series 11-20 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B003,A_non_neural,SSD,10,12,120,36000,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_SSD_03.csv,A_non_neural|SSD|03,LOW,Series 21-30 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B004,A_non_neural,SSD,10,12,120,36000,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_SSD_04.csv,A_non_neural|SSD|04,LOW,Series 31-40 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B005,A_non_neural,SSD,10,12,120,36000,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_SSD_05.csv,A_non_neural|SSD|05,LOW,Series 41-50 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B006,A_non_neural,CPU,10,12,120,35280,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_CPU_01.csv,A_non_neural|CPU|01,LOW,Series 1-10 of 20 for CPU. Resume key lets P5 skip completed batches on restart.
B007,A_non_neural,CPU,10,12,120,35280,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_CPU_02.csv,A_non_neural|CPU|02,LOW,Series 11-20 of 20 for CPU. Resume key lets P5 skip completed batches on restart.
B008,A_non_neural,IOPS,10,12,120,18720,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_IOPS_01.csv,A_non_neural|IOPS|01,LOW,Series 1-10 of 20 for IOPS. Resume key lets P5 skip completed batches on restart.
B009,A_non_neural,IOPS,10,12,120,18720,V6/data/model_runs/v6_24_p5_work/checkpoints/A_non_neural_IOPS_02.csv,A_non_neural|IOPS|02,LOW,Series 11-20 of 20 for IOPS. Resume key lets P5 skip completed batches on restart.
B010,B_neural,SSD,5,3,15,4500,V6/data/model_runs/v6_24_p5_work/checkpoints/B_neural_SSD_01.csv,B_neural|SSD|01,HIGH,Series 1-5 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B011,B_neural,SSD,5,3,15,4500,V6/data/model_runs/v6_24_p5_work/checkpoints/B_neural_SSD_02.csv,B_neural|SSD|02,HIGH,Series 6-10 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B012,B_neural,SSD,5,3,15,4500,V6/data/model_runs/v6_24_p5_work/checkpoints/B_neural_SSD_03.csv,B_neural|SSD|03,HIGH,Series 11-15 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B013,B_neural,SSD,5,3,15,4500,V6/data/model_runs/v6_24_p5_work/checkpoints/B_neural_SSD_04.csv,B_neural|SSD|04,HIGH,Series 16-20 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
B014,B_neural,SSD,5,3,15,4500,V6/data/model_runs/v6_24_p5_work/checkpoints/B_neural_SSD_05.csv,B_neural|SSD|05,HIGH,Series 21-25 of 50 for SSD. Resume key lets P5 skip completed batches on restart.
