metric,model_family,model_name,units,total_seconds,mean_seconds,max_seconds,prediction_rows
CPU,Baseline,ARIMA_Fixed,20,0.399,0.02,0.021,5994
CPU,Baseline,ETS_Current,20,0.433,0.0217,0.025,5994
CPU,Baseline,FixedGrowth_1_5,20,0.403,0.0202,0.025,5994
CPU,Baseline,FixedGrowth_3,20,0.396,0.0198,0.025,5994
CPU,Baseline,FixedGrowth_4,20,0.383,0.0192,0.021,5994
CPU,Baseline,FixedGrowth_6,20,0.391,0.0196,0.023,5994
CPU,Baseline,LinearRegression,20,0.548,0.0274,0.031,5994
CPU,Challenger,AutoARIMA,20,47.662,2.3831,6.217,5994
CPU,Challenger,ETS Explicit,20,2.8,0.14,0.156,5994
CPU,Challenger,LightGBM,20,3.554,0.1777,0.206,5994
CPU,Challenger,Theta,20,2.151,0.1076,0.134,5994
CPU,Challenger,XGBoost,20,10.429,0.5214,0.696,5994
CPU,Neural,FNAR-V2,20,19.302,0.9651,1.109,5994
CPU,Neural,NLIN-DLIN_FIXED,20,0.579,0.029,0.073,5994
CPU,Neural,SMLP-TCN,20,0.405,0.0203,0.024,5994
IOPS,Baseline,ARIMA_Fixed,20,0.426,0.0213,0.024,6332
IOPS,Baseline,ETS_Current,20,0.478,0.0239,0.026,6332
IOPS,Baseline,FixedGrowth_1_5,20,0.426,0.0213,0.023,6332
IOPS,Baseline,FixedGrowth_3,20,0.421,0.0211,0.024,6332
IOPS,Baseline,FixedGrowth_4,20,0.412,0.0206,0.022,6332
IOPS,Baseline,FixedGrowth_6,20,0.417,0.0209,0.023,6332
IOPS,Baseline,LinearRegression,20,0.647,0.0324,0.04,6332
IOPS,Challenger,AutoARIMA,20,37.704,1.8852,4.82,6332
IOPS,Challenger,ETS Explicit,20,3.909,0.1955,0.241,6332
IOPS,Challenger,LightGBM,20,5.322,0.2661,0.423,6332
IOPS,Challenger,Theta,20,2.845,0.1422,0.165,6332
IOPS,Challenger,XGBoost,20,11.212,0.5606,0.607,6332
IOPS,Neural,FNAR-V2,20,26.978,1.3489,2.077,6332
IOPS,Neural,NLIN-DLIN_FIXED,20,0.657,0.0329,0.047,6332
IOPS,Neural,SMLP-TCN,20,0.47,0.0235,0.031,6332
SSD,Baseline,ARIMA_Fixed,50,0.985,0.0197,0.024,15000
SSD,Baseline,ETS_Current,50,1.024,0.0205,0.025,15000
SSD,Baseline,FixedGrowth_1_5,50,1.002,0.02,0.032,15000
SSD,Baseline,FixedGrowth_3,50,0.982,0.0196,0.03,15000
SSD,Baseline,FixedGrowth_4,50,0.961,0.0192,0.026,15000
SSD,Baseline,FixedGrowth_6,50,1.095,0.0219,0.142,15000
SSD,Baseline,LinearRegression,50,1.155,0.0231,0.031,15000
SSD,Challenger,AutoARIMA,50,101.207,2.0241,4.325,15000
SSD,Challenger,ETS Explicit,50,5.396,0.1079,0.132,15000
SSD,Challenger,LightGBM,50,5.701,0.114,0.161,15000
SSD,Challenger,Theta,50,4.767,0.0953,0.136,15000
SSD,Challenger,XGBoost,50,11.506,0.2301,0.333,15000
SSD,Neural,FNAR-V2,50,23.955,0.4791,0.608,15000
SSD,Neural,NLIN-DLIN_FIXED,50,1.25,0.025,0.035,15000
SSD,Neural,SMLP-TCN,50,1.053,0.0211,0.027,15000
