series_id,metric,max_observed_date,max_backtest_target,reached,origins,target_dates,result
CPU__Consumed__Region__APC-Multitenant,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__ARE-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__AUS-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__BRA-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__CAN-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__CHE-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__CHN-Gallatin,CPU,2023-07-20,2023-07-20,TRUE,10,297,PASS
CPU__Consumed__Region__DEU-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__EUR-MSIT,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Consumed__Region__FRA-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__APC-Multitenant,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__ARE-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__AUS-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__BRA-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__CAN-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__CHE-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__CHN-Gallatin,CPU,2023-07-20,2023-07-20,TRUE,10,297,PASS
CPU__Failover__Region__DEU-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__EUR-MSIT,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
CPU__Failover__Region__FRA-Go-Local,CPU,2023-07-20,2023-07-20,TRUE,10,300,PASS
IOPS__Consumed__Region__APC-Multitenant,IOPS,2023-07-20,2023-07-20,TRUE,11,323,PASS
IOPS__Consumed__Region__ARE-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Consumed__Region__AUS-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,323,PASS
IOPS__Consumed__Region__BRA-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,10,295,PASS
IOPS__Consumed__Region__CAN-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Consumed__Region__CHE-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Consumed__Region__CHN-Gallatin,IOPS,2023-07-20,2023-07-20,TRUE,10,293,PASS
IOPS__Consumed__Region__DEU-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Consumed__Region__EUR-Multitenant,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Consumed__Region__FRA-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Failover__Region__APC-Multitenant,IOPS,2023-07-20,2023-07-20,TRUE,11,323,PASS
IOPS__Failover__Region__ARE-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Failover__Region__AUS-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,323,PASS
IOPS__Failover__Region__BRA-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,10,295,PASS
IOPS__Failover__Region__CAN-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Failover__Region__CHE-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Failover__Region__CHN-Gallatin,IOPS,2023-07-20,2023-07-20,TRUE,10,293,PASS
IOPS__Failover__Region__DEU-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Failover__Region__EUR-Multitenant,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
IOPS__Failover__Region__FRA-Go-Local,IOPS,2023-07-20,2023-07-20,TRUE,11,322,PASS
SSD__Phoenix__Forest__APCP150,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__APCPRD01,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__APCPRD02,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__AREP273,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__AUSP282,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__AUSP300,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__AUSPRD01,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__AUTP296,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__BRAP284,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__CANP288,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__CANPRD01,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__CHEP278,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__CHLP298,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__DEUP281,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__DNKP307,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__ESPP292,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__EURP107,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__EURP119,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__EURP120,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__FRAP264,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__GBRP123,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__GBRP265,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__GBRP267,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__IDNP305,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__INDP287,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__INDPRD01,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__ISRP290,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__ITAP293,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__JPNP286,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__JPNP301,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__JPNPRD01,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__KORP216,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__LAMP152,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__LAMP215,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__LAMPRD80,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__MEXP297,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__MYSP306,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__NAMP100,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__NAMP101,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__NAMP104,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__NAMPRD07,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
SSD__Phoenix__Forest__NAMPRD08,SSD,2026-08-22,2026-08-22,TRUE,10,63,PASS
