cohort_id,series_id,metric,db_type,scenario,segment,granularity,key,route_path,model_name,model_family,target_date,prediction_date,train_start_date,train_end_date,horizon_steps,actual_value,predicted_value,backtest_type,burn_in_count,source_actuals_artifact,model_run_id,source_generation_status,model_status,runtime_seconds,caveat
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,ARIMA_Fixed,Baseline,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,453884.43876239995,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.02,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,AutoARIMA,Challenger,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,450842.5326706341,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,1.648,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,ETS Explicit,Challenger,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,451775.77565368015,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.136,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,ETS_Current,Baseline,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,453975.50273905956,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.022,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FNAR-V2,Neural,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,461135.85006722587,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.913,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_1_5,Baseline,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,452079.2605155643,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.02,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_3,Baseline,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,452305.1871824886,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.022,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_4,Baseline,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,452455.80496043817,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.019,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_6,Baseline,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,452757.04051633726,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.021,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,LightGBM,Challenger,2022-04-26,2022-04-26,2022-01-04,2022-04-25,1,453884.4387624,449961.71936488274,D2_SPARSE_OBSERVED_BACKTEST,63,processed/v6_24_mvp_cohort/actuals_normalized.parquet,P5_FULL_20260823T211818,GENERATED_P5,OK,0.175,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
