series_id,metric,source_generation_status,models_present,expected_models,rows,distinct_origins,distinct_target_dates,min_target,max_target,result
CPU__Consumed__Region__APC-Multitenant,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__ARE-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__AUS-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__BRA-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__CAN-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__CHE-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__CHN-Gallatin,CPU,GENERATED_P5,15,15,4455,10,297,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__DEU-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__EUR-MSIT,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Consumed__Region__FRA-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__APC-Multitenant,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__ARE-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__AUS-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__BRA-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__CAN-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__CHE-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__CHN-Gallatin,CPU,GENERATED_P5,15,15,4455,10,297,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__DEU-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__EUR-MSIT,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
CPU__Failover__Region__FRA-Go-Local,CPU,GENERATED_P5,15,15,4500,10,300,2022-04-26,2023-07-20,PASS
HDD__Basilisk__NA__Forest__apcp150,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__chnpr01,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__eurp180,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__eurprd07,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__jpnprd01,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__namp113,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__namp157,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__namp222,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Forest__namprd15,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__GBR-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,75,2026-03-10,2026-05-23,PASS
HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__are-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__chl-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__fra-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__kor-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,2250,5,79,2026-03-08,2026-05-25,PASS
HDD__EDB__Consumer__Forest__CANPRD01,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__EURP179,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__EURP309,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,211,2025-12-21,2026-07-19,PASS
HDD__EDB__Consumer__Forest__EURPRD07,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__JPNPRD01,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__NAMP115,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__NAMP159,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__NAMP283,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Forest__NAMPRD16,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,277,2025-10-16,2026-07-19,PASS
HDD__EDB__Consumer__Region__APC-MSIT,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Consumer__Region__CAN-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Consumer__Region__LAM-Multitenant,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,193,2025-10-16,2026-04-26,PASS
HDD__EDB__Consumer__Region__NAM-MSIT,HDD,REUSED_HDD_EXISTING_ARTIFACT,15,15,4950,11,276,2025-10-16,2026-07-18,PASS
