scope,metric,model_name,model_family,n_series,n_series_model_pairs,mean_wape,median_wape,mean_smape,median_smape,mean_mape,median_mape,mean_mae,median_mae,mean_rmse,median_rmse,mean_bias,median_bias,negative_prediction_count,extreme_ratio_count,aggregation_note,units
OVERALL,ALL,ALL,ALL,140,2100,6.696521450587403e+19,0.063827,0.191911,0.06901,2.721966758088546e+19,0.068824,3.9043894281583926e+20,297.424289,4.1839562956002395e+21,417.065002,3.9043894281575275e+20,0.0,7531,1371,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_METRIC,CPU,ALL,ALL,20,300,0.078903,0.055898,0.081479,0.057147,0.08073,0.057179,15087.041279,6496.111624,21390.073828,8230.543597,1174.482059,388.358908,265,13,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_METRIC,HDD,ALL,ALL,50,750,2.3724818853509657e+20,0.05061,0.361281,0.064499,9.643539371513705e+19,0.055583,1.0932290398843491e+21,38.504914,1.1715077627680666e+22,52.667875,1.0932290398841075e+21,0.0,5167,1146,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_METRIC,IOPS,ALL,ALL,20,300,0.251103,0.073999,0.09979,0.08059,0.546463,0.083186,2273714.739322,242929.925907,9436358.762251,346414.676392,612225.53466,4707.56396,301,53,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_METRIC,SSD,ALL,ALL,50,750,0.299165,0.065368,0.147598,0.067029,0.323705,0.06339,340.578259,87.206624,1035.131975,118.379765,12.090606,-7.590681,1798,159,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,ARIMA_Fixed,ALL,140,140,1.794051,0.117558,0.224109,0.110063,4.065036,0.113994,321678.572607,301.716317,531804.957219,478.66218,-102084.968955,-0.001674,837,75,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,AutoARIMA,ALL,140,140,0.253664,0.052753,0.142449,0.053582,0.132078,0.054768,124087.248523,247.987825,170582.661451,349.108385,-3730.305422,0.0,600,90,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,ETS Explicit,ALL,140,140,1.588999,0.056218,0.139827,0.060364,3.907666,0.060174,114625.192572,284.187394,150842.47909,412.776612,15862.8618,2.915766,715,55,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,ETS_Current,ALL,140,140,0.605423,0.077533,0.165368,0.080441,1.19823,0.085503,185170.250537,217.706992,250711.931059,363.612792,-25573.167745,0.0,801,55,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,FNAR-V2,ALL,140,140,183.516296,0.089925,0.40538,0.109876,87.513282,0.096554,159588.128228,515.863049,248611.829452,607.441977,-1339.999024,-97.525526,0,165,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,FixedGrowth_1_5,ALL,140,140,0.275319,0.053852,0.130743,0.059666,0.493746,0.058951,110123.632789,221.518771,146836.835969,304.303567,12075.160195,-0.06698,150,51,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,FixedGrowth_3,ALL,140,140,0.275752,0.053144,0.129123,0.056921,0.495202,0.055243,112262.679326,224.699793,150743.263249,295.71111,27630.19016,0.0,150,51,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,FixedGrowth_4,ALL,140,140,0.276547,0.052898,0.128542,0.055563,0.49667,0.054903,114720.498859,225.968783,154459.096753,318.808251,38000.210137,0.0,150,51,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,FixedGrowth_6,ALL,140,140,0.279212,0.053201,0.128422,0.054949,0.500657,0.054458,121827.832752,217.263423,164265.098419,299.593303,58740.250091,0.099555,150,51,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,LightGBM,ALL,140,140,0.309784,0.071124,0.17777,0.076467,0.240603,0.076163,123245.752002,410.039043,158993.640692,487.418945,-8457.961934,-20.852,1050,60,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,LinearRegression,ALL,140,140,1.0044782175881104e+21,0.087035,0.213704,0.090036,4.082950137132819e+20,0.092377,5.856584142237587e+21,870.160493,6.2759344434003585e+22,1430.486862,5.856584142236291e+21,0.109943,1306,222,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
BY_MODEL,ALL,NLIN-DLIN_FIXED,ALL,140,140,0.224985,0.071456,0.189185,0.076125,0.182801,0.079268,137494.880433,442.980481,183670.662133,620.121539,18555.346519,4.166577,0,261,"Aggregated from per-series values, never from pooled raw rows: backtest density differs by metric",wape/smape/mape are decimal fractions; mae/rmse/bias in series units
