cohort_id,series_id,metric,db_type,scenario,granularity,key,route_path,champion_model,model_family,primary_rank_metric,primary_rank_value,runner_up_model,runner_up_value,margin,n_backtest_rows,negative_prediction_count,extreme_ratio_count,source_generation_status,caveat
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_1_5,Baseline,wape,0.039158,LinearRegression,0.039426,0.000268,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0102,CPU__Consumed__Region__ARE-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,ARE-Go Local,CPU|Organic|Consumed|Region,AutoARIMA,Challenger,wape,0.033889,FixedGrowth_1_5,0.036356,0.002466,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0103,CPU__Consumed__Region__AUS-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,AUS-Go Local,CPU|Organic|Consumed|Region,AutoARIMA,Challenger,wape,0.046671,Theta,0.047121,0.00045,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0104,CPU__Consumed__Region__BRA-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,BRA-Go Local,CPU|Organic|Consumed|Region,LightGBM,Challenger,wape,0.047885,FixedGrowth_4,0.050638,0.002753,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0105,CPU__Consumed__Region__CAN-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,CAN-Go Local,CPU|Organic|Consumed|Region,LightGBM,Challenger,wape,0.04223,XGBoost,0.046777,0.004547,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0106,CPU__Consumed__Region__CHE-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,CHE-Go Local,CPU|Organic|Consumed|Region,LightGBM,Challenger,wape,0.069114,NLIN-DLIN_FIXED,0.078995,0.009881,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0107,CPU__Consumed__Region__CHN-Gallatin,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,CHN-Gallatin,CPU|Organic|Consumed|Region,XGBoost,Challenger,wape,0.051947,LinearRegression,0.056037,0.00409,297,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0108,CPU__Consumed__Region__DEU-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,DEU-Go Local,CPU|Organic|Consumed|Region,XGBoost,Challenger,wape,0.053856,FixedGrowth_1_5,0.062131,0.008274,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0109,CPU__Consumed__Region__EUR-MSIT,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,EUR-MSIT,CPU|Organic|Consumed|Region,LinearRegression,Baseline,wape,0.093749,XGBoost,0.094226,0.000477,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0110,CPU__Consumed__Region__FRA-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,Region,FRA-Go Local,CPU|Organic|Consumed|Region,NLIN-DLIN_FIXED,Neural,wape,0.041638,LightGBM,0.046516,0.004877,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0111,CPU__Failover__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,APC-Multitenant,CPU|Organic|Failover|Region,FixedGrowth_1_5,Baseline,wape,0.059588,AutoARIMA,0.060118,0.00053,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0112,CPU__Failover__Region__ARE-Go-Local,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Failover,Region,ARE-Go Local,CPU|Organic|Failover|Region,AutoARIMA,Challenger,wape,0.025616,NLIN-DLIN_FIXED,0.028047,0.002431,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
