run_id,metric,series_id,model_name,model_family,forecast_steps_emitted,model_status,runtime_seconds,error
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,FixedGrowth_1_5,Baseline,30,OK,0.0014,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,FixedGrowth_3,Baseline,30,OK,0.0008,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,ARIMA_Fixed,Baseline,30,OK,0.0008,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,AutoARIMA,Challenger,30,OK,0.9688,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,ETS Explicit,Challenger,30,OK,0.0251,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,ETS_Current,Baseline,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,Theta,Challenger,30,OK,0.0232,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,LightGBM,Challenger,30,OK,0.0311,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,LinearRegression,Baseline,30,OK,0.0012,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,XGBoost,Challenger,30,OK,0.0425,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,FNAR-V2,Neural,30,OK,0.0058,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,NLIN-DLIN_FIXED,Neural,30,OK,0.0011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__apcp150,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,FixedGrowth_3,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,FixedGrowth_4,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,FixedGrowth_6,Baseline,30,OK,0.0006,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,ARIMA_Fixed,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,AutoARIMA,Challenger,30,OK,0.0065,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,ETS Explicit,Challenger,30,OK,0.0071,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,ETS_Current,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,Theta,Challenger,30,OK,0.0067,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,LightGBM,Challenger,30,OK,0.0077,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,LinearRegression,Baseline,30,OK,0.0012,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,XGBoost,Challenger,30,OK,0.011,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,FNAR-V2,Neural,30,OK,0.0054,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,NLIN-DLIN_FIXED,Neural,30,OK,0.001,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__chnpr01,SMLP-TCN,Neural,30,OK,0.0007,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,FixedGrowth_1_5,Baseline,30,OK,0.0009,
P6B_20260823T220902,HDD,HDD__Basilisk__NA__Forest__eurp180,FixedGrowth_3,Baseline,30,OK,0.0006,
