artifact,column_name,dtype,required,null_count,distinct_count,example_value,description
forecast_outputs,cohort_id,str,TRUE,0,140,V6_24_MVP_0001,
forecast_outputs,series_id,str,TRUE,0,140,HDD__Basilisk__NA__Forest__apcp150,Stable cohort series identifier; the Viewer join key
forecast_outputs,metric,str,TRUE,0,4,HDD,
forecast_outputs,db_type,str,TRUE,0,5,Basilisk,
forecast_outputs,scenario,str,TRUE,0,3,NOT_APPLICABLE,
forecast_outputs,segment,str,TRUE,0,3,NOT_APPLICABLE,
forecast_outputs,granularity,str,TRUE,0,2,Forest,
forecast_outputs,key,str,TRUE,0,102,apcp150,
forecast_outputs,route_path,str,TRUE,0,11,HDD|Organic|Basilisk|Forest,
forecast_outputs,model_name,str,TRUE,0,15,FixedGrowth_1_5,
forecast_outputs,model_family,str,TRUE,0,3,Baseline,
forecast_outputs,forecast_date,datetime64[us],TRUE,0,150,2026-05-26 00:00:00,"train_end_date + forecast_step days; a FORECAST target, not an actual"
forecast_outputs,forecast_step,int64,TRUE,0,30,1,"1..30, the governed daily forward step"
forecast_outputs,forecast_horizon_days,int64,TRUE,0,30,1,
forecast_outputs,train_start_date,datetime64[us],TRUE,0,10,2026-03-08 00:00:00,
forecast_outputs,train_end_date,datetime64[us],TRUE,0,8,2026-05-25 00:00:00,
forecast_outputs,latest_actual_value,float64,TRUE,0,122,0.0,Last observed actual; the anchor for the extreme-ratio rule
forecast_outputs,predicted_value,float64,TRUE,0,44109,0.0,"Raw model output, never post-clipped by P6B"
forecast_outputs,negative_forecast_flag,str,TRUE,0,2,FALSE,TRUE when predicted_value < 0
forecast_outputs,extreme_forecast_flag,str,TRUE,0,3,STRUCTURALLY_NOT_COMPUTABLE,TRUE / FALSE / STRUCTURALLY_NOT_COMPUTABLE when latest_actual_value = 0
forecast_outputs,forecast_type,str,TRUE,0,1,GOVERNED_30_STEP_DAILY_FORECAST,
forecast_outputs,source_generation_status,str,TRUE,0,1,GENERATED_P6B_GOVERNED_30_STEP_FORECAST,
forecast_outputs,model_run_id,str,TRUE,0,1,P6B_20260823T220902,
forecast_outputs,model_status,str,TRUE,0,1,OK,
forecast_outputs,runtime_seconds,float64,TRUE,0,493,0.0014,
forecast_outputs,caveat,str,TRUE,0,3,"None. Actuals, all 15 governed backtests and forecast alread",
