filter_stage,parent_filter_path,next_filter_axis,valid_option_value,option_series_count,option_visible_count,option_status,notes
1. metric,GLOBAL,metric,CPU,20,20,AVAILABLE,Derived from operational rows only; never exposed when empty
1. metric,GLOBAL,metric,HDD,50,50,AVAILABLE,Derived from operational rows only; never exposed when empty
1. metric,GLOBAL,metric,IOPS,20,20,AVAILABLE,Derived from operational rows only; never exposed when empty
1. metric,GLOBAL,metric,SSD,50,50,AVAILABLE,Derived from operational rows only; never exposed when empty
2. db_type,CPU,db_type,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,20,20,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
2. db_type,HDD,db_type,Basilisk,17,17,AVAILABLE,Derived from operational rows only; never exposed when empty
2. db_type,HDD,db_type,EDB,33,33,AVAILABLE,Derived from operational rows only; never exposed when empty
2. db_type,IOPS,db_type,NOT_APPLICABLE,20,20,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
2. db_type,SSD,db_type,Phoenix,50,50,AVAILABLE,Derived from operational rows only; never exposed when empty
3. scenario,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,scenario,Consumed,10,10,AVAILABLE,Derived from operational rows only; never exposed when empty
3. scenario,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,scenario,Failover,10,10,AVAILABLE,Derived from operational rows only; never exposed when empty
3. scenario,HDD|Basilisk,scenario,NOT_APPLICABLE,17,17,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
3. scenario,HDD|EDB,scenario,NOT_APPLICABLE,33,33,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
3. scenario,IOPS|NOT_APPLICABLE,scenario,Consumed,10,10,AVAILABLE,Derived from operational rows only; never exposed when empty
3. scenario,IOPS|NOT_APPLICABLE,scenario,Failover,10,10,AVAILABLE,Derived from operational rows only; never exposed when empty
3. scenario,SSD|Phoenix,scenario,NOT_APPLICABLE,50,50,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
4. segment,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE|Consumed,segment,NOT_APPLICABLE,10,10,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
4. segment,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE|Failover,segment,NOT_APPLICABLE,10,10,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
4. segment,HDD|Basilisk|NOT_APPLICABLE,segment,NOT_APPLICABLE,17,17,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
4. segment,HDD|EDB|NOT_APPLICABLE,segment,Consumer,17,17,AVAILABLE,Derived from operational rows only; never exposed when empty
4. segment,HDD|EDB|NOT_APPLICABLE,segment,Enterprise,16,16,AVAILABLE,Derived from operational rows only; never exposed when empty
4. segment,IOPS|NOT_APPLICABLE|Consumed,segment,NOT_APPLICABLE,10,10,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
4. segment,IOPS|NOT_APPLICABLE|Failover,segment,NOT_APPLICABLE,10,10,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
4. segment,SSD|Phoenix|NOT_APPLICABLE,segment,NOT_APPLICABLE,50,50,AVAILABLE_CONDITIONAL_AXIS,This axis does not apply to this branch; the value is carried explicitly rather than dropped or faked
5. granularity,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE|Consumed|NOT_APPLICABLE,granularity,Region,10,10,AVAILABLE,Derived from operational rows only; never exposed when empty
5. granularity,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE|Failover|NOT_APPLICABLE,granularity,Region,10,10,AVAILABLE,Derived from operational rows only; never exposed when empty
