"artifact","md5_before","md5_after","result","scope","checked_at"
"accuracy_metrics.csv","50d15185df2c8f3f7d4f01e8f6944e52","50d15185df2c8f3f7d4f01e8f6944e52","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"accuracy_metrics.parquet","3eab156b0f1a65099968b4873d4cd770","3eab156b0f1a65099968b4873d4cd770","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"actuals_normalized.csv","13228a40aaddbb75cb350544e9374889","13228a40aaddbb75cb350544e9374889","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"actuals_normalized.parquet","0c4b2c15ecab491208b6d82a24422c79","0c4b2c15ecab491208b6d82a24422c79","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"cohort_manifest.csv","4acf47a30ceab9afa44a7df5f8adb305","4acf47a30ceab9afa44a7df5f8adb305","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"cohort_manifest.parquet","2b2ca78ce5dec2dd5af428acfe1b47d4","2b2ca78ce5dec2dd5af428acfe1b47d4","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"data_dictionary.csv","f87a14aafbaefbf1481e5412708261f8","f87a14aafbaefbf1481e5412708261f8","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"forecast_outputs.csv","343e69de483762d329280d16883ed06c","343e69de483762d329280d16883ed06c","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"forecast_outputs.parquet","a954933ca9a92aba4a6368387c5d8aa7","a954933ca9a92aba4a6368387c5d8aa7","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"model_backtests_15_models.csv","dbc535878707deb353fd3d697af344d0","dbc535878707deb353fd3d697af344d0","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"model_backtests_15_models.parquet","a1552ba393ae21cf4d039113c34cc1af","a1552ba393ae21cf4d039113c34cc1af","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"model_rankings.csv","c4cf7e140585ee73c6fd08ac697263ae","c4cf7e140585ee73c6fd08ac697263ae","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"model_rankings.parquet","a4f4bc0a3d1bb8efcbb44ff8646bc7fb","a4f4bc0a3d1bb8efcbb44ff8646bc7fb","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"navigation_contract.csv","f148fcede93e6d769f4fb998f32a4987","f148fcede93e6d769f4fb998f32a4987","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"navigation_contract.parquet","4f39c1496375291540a14ba8f8b71203","4f39c1496375291540a14ba8f8b71203","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"p4_processing_readme.md","d907e03a1d04bce0201654a33b393954","d907e03a1d04bce0201654a33b393954","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"series_signal_quality.csv","58839ff4fb2c4a8de98f0d9e09c5e35f","58839ff4fb2c4a8de98f0d9e09c5e35f","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"series_signal_quality.parquet","e2bcf88df5d78d504f27aef52f0c3a00","e2bcf88df5d78d504f27aef52f0c3a00","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"source_forecast_baselines_normalized.csv","8f6c90a1a195e87cf6244837eae879e0","8f6c90a1a195e87cf6244837eae879e0","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"source_forecast_baselines_normalized.parquet","296a6a868a955ba9e2751b938388a8e7","296a6a868a955ba9e2751b938388a8e7","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"taxonomy_counts.csv","6f32caa33be80f81416967bd26052609","6f32caa33be80f81416967bd26052609","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
"taxonomy_counts.parquet","0abd6c9b13f1e2b751709d794431ed0e","0abd6c9b13f1e2b751709d794431ed0e","PASS","processed/v6_24_mvp_cohort","2026-08-23T23:06:56Z"
